ID,AgeBracket,SexAtBirth,CurrentSex,Ethnicity,HighestEducation,HRQOL1,HRQOL2,PWB1,PWB2,PWB3,PWB4,PWB5,PWB6,PWB7,PWB8,PWB9,PWB10,PWB11,PWB12,PWB13,PWB14,PWB15,PWB16,PWB17,PWB18,WEMWBS1,WEMWBS2,WEMWBS3,WEMWBS4,WEMWBS5,WEMWBS6,WEMWBS7,WEMWBS8,WEMWBS9,WEMWBS10,WEMWBS11,WEMWBS12,WEMWBS13,WEMWBS14,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,SC0,SC1,SC2,SC3
26,18-33,Female,Prefer not to say,Other (not listed),"Postgraduate Qualification, Masters",Very Good,None,Somewhat agree,Somewhat agree,A little disagree,A little disagree,Somewhat disagree,Strongly disagree,Strongly disagree,A little disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,A little agree,Some of the time,Often,Rarely,Some of the time,Rarely,Often,Often,Some of the time,Often,Some of the time,Often,Often,Rarely,Some of the time,Very strongly agree,Very strongly agree,Neutral,Strongly disagree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly disagree,Strongly agree,Very strongly agree,Mildly disagree,Mildly agree,2,107,45,62
27,18-33,Female,,Other (not listed),Undergraduate Degree,Very Good,0-5,Somewhat agree,Strongly agree,A little agree,Somewhat agree,Somewhat agree,A little agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,A little disagree,Somewhat agree,A little agree,Some of the time,Some of the time,Rarely,Some of the time,None of the time,Rarely,Rarely,Rarely,Some of the time,Some of the time,Often,Often,Often,Some of the time,Mildly agree,Mildly agree,Very strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly disagree,Very strongly agree,Strongly agree,2,87,39,67
28,18-33,Female,Female,,,Good,0-5,Strongly agree,Somewhat agree,A little agree,A little disagree,A little disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,A little disagree,Somewhat agree,A little agree,Somewhat agree,Somewhat disagree,A little agree,Somewhat disagree,A little agree,Neither agree nor disagree,Rarely,Rarely,Rarely,Some of the time,Rarely,Rarely,Some of the time,Rarely,Often,Rarely,Some of the time,Often,Some of the time,Rarely,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,3,96,36,68
29,18-33,Female,Female,Other (not listed),"Postgraduate Qualification, Masters",Fair,Oct-15,Somewhat agree,A little agree,A little disagree,Strongly agree,A little agree,A little disagree,Somewhat disagree,A little disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,A little agree,Strongly disagree,A little disagree,A little disagree,Rarely,None of the time,Rarely,Rarely,Rarely,None of the time,Rarely,Rarely,Some of the time,None of the time,Some of the time,Often,Some of the time,None of the time,Strongly disagree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Mildly agree,4,74,29,69
30,34-48,Female,,"Chinese, Chinese Scottish or Chinese British",PhD or other professional qualification,Good,0-5,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Often,Often,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Some of the time,Some of the time,All of the time,Often,Some of the time,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Mildly disagree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Mildly agree,3,107,50,74
31,18-33,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Excellent,0-5,Somewhat agree,Neither agree nor disagree,Strongly agree,A little disagree,A little agree,A little disagree,A little disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,A little agree,Somewhat disagree,A little agree,A little agree,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,All of the time,Some of the time,Some of the time,Some of the time,Often,Often,Often,Often,Very strongly agree,Neutral,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Neutral,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,1,99,50,69
32,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Good,0-5,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,A little disagree,Strongly disagree,Strongly agree,Strongly agree,Some of the time,Some of the time,Rarely,Rarely,Rarely,Often,Often,Often,Some of the time,Some of the time,Some of the time,Often,Rarely,Some of the time,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly disagree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3,114,42,72
34,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,25-30,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,A little agree,Strongly agree,Somewhat agree,A little agree,A little agree,A little agree,Somewhat agree,A little agree,A little agree,Neither agree nor disagree,Somewhat agree,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Rarely,Often,Often,Often,Often,Often,Mildly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Neutral,Strongly agree,3,90,47,66
35,18-33,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,None,Somewhat agree,Somewhat agree,A little agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,A little agree,Some of the time,Some of the time,Rarely,Often,None of the time,Some of the time,Some of the time,Often,Often,Some of the time,Often,All of the time,Rarely,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Very strongly agree,2,103,44,81
36,,,,,,Excellent,Oct-15,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,A little agree,A little agree,A little disagree,Somewhat agree,A little disagree,A little disagree,Somewhat disagree,A little disagree,A little disagree,A little disagree,Often,All of the time,Often,Some of the time,All of the time,Rarely,Often,Often,Some of the time,All of the time,Rarely,All of the time,Some of the time,None of the time,Mildly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Mildly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Mildly disagree,Strongly agree,1,77,50,47
37,18-33,Male,Male,Other British,Undergraduate Degree,Very Good,None,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,A little disagree,A little agree,Somewhat disagree,Strongly agree,A little agree,Strongly disagree,Somewhat agree,Strongly agree,A little agree,Somewhat disagree,A little disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Some of the time,Some of the time,Rarely,Some of the time,Often,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Often,Some of the time,Rarely,Some of the time,Mildly agree,Mildly agree,Neutral,Neutral,Neutral,Mildly disagree,Mildly disagree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,2,104,40,54
38,34-48,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,0-5,Somewhat agree,Strongly agree,Somewhat agree,A little agree,Somewhat disagree,A little agree,A little disagree,Neither agree nor disagree,Somewhat agree,A little disagree,Strongly agree,Strongly agree,A little agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Often,Often,Some of the time,Some of the time,Some of the time,Often,Often,Often,Some of the time,Some of the time,All of the time,Rarely,Often,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,2,104,49,80
