ID,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q1,Q2,Q3,SC0,SC1,SC2
118,18-33,Female,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree Somewhat,Don't Agree or Disagree,Agree Somewhat,Agree Somewhat,Somewhat Disagree,Agree,Disagree,Strongly Agree,Agree Somewhat,Agree Somewhat,Disagree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Strongly Agree,Agree Somewhat,Somewhat Disagree,Extremely uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Disagree,Mostly disagree,Disagree,50,133,84
119,18-33,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Agree,Agree,Don't Agree or Disagree,Agree Somewhat,Don't Agree or Disagree,Agree Somewhat,Agree,Agree Somewhat,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree Somewhat,Agree,Strongly Agree,Don't Agree or Disagree,Agree Somewhat,Agree,Agree Somewhat,Agree Somewhat,Don't Agree or Disagree,Agree Somewhat,Agree Somewhat,Disagree,Don't Agree or Disagree,Agree Somewhat,Agree,Agree Somewhat,Agree,Agree Somewhat,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Agree,Agree,Agree,31,149,99
120,18-33,Female,,Irish,"Postgraduate Qualification, Masters",Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree Somewhat,Agree Somewhat,Agree,Disagree,Disagree,Agree,Somewhat Disagree,Agree Somewhat,Disagree,Agree Somewhat,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Agree Somewhat,Agree,Don't Agree or Disagree,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Strongly disagree,Strongly disagree,Strongly disagree,52,124,50
121,18-33,Female,Female,Polish,Undergraduate Degree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Don't Agree or Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree Somewhat,Agree Somewhat,Agree,Strongly Agree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree Somewhat,Disagree,Somewhat Disagree,Agree Somewhat,Strongly Agree,Agree Somewhat,Agree,Agree,Strongly Disagree,Agree,Somewhat characteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Characteristic of me,Extremely uncharacteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Extremely characteristic of me,Extremely characteristic of me,Extremely characteristic of me,Mostly agree,Mostly disagree,Mostly disagree,47,130,143
122,18-33,Male,Male,Irish,Undergraduate Degree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Strongly Agree,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Agree,Agree Somewhat,Agree Somewhat,Agree,Agree,Somewhat Disagree,Don't Agree or Disagree,Somewhat Disagree,Disagree,Don't Agree or Disagree,Disagree,Somewhat Disagree,Strongly Agree,Agree Somewhat,Agree Somewhat,Agree,Somewhat Disagree,Agree Somewhat,Agree,Disagree,Agree,Uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Characteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Strongly agree,Strongly agree,Strongly agree,38,137,97
123,18-33,Female,,Other British,,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Don't Agree or Disagree,Agree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Strongly Agree,Agree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree,Don't Agree or Disagree,Don't Agree or Disagree,Agree,Don't Agree or Disagree,Agree Somewhat,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Agree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree,Agree Somewhat,Agree,Agree,Somewhat Disagree,Agree Somewhat,Uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Mostly agree,Mostly disagree,Mostly disagree,63,152,93
124,18-33,Female,Female,,,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Somewhat,Agree Somewhat,Strongly Agree,Agree,Don't Agree or Disagree,Don't Agree or Disagree,Agree Somewhat,Agree,Agree Somewhat,Disagree,Strongly Agree,Strongly Agree,Agree,Don't Agree or Disagree,Agree,Somewhat Disagree,Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree,Agree Somewhat,Don't Agree or Disagree,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Characteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Disagree,Disagree,Disagree,66,163,94
125,18-33,Female,Female,Other white ethnic group,Undergraduate Degree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Agree Somewhat,Agree Somewhat,Disagree,Agree Somewhat,Agree,Don't Agree or Disagree,Strongly Agree,Somewhat Disagree,Agree,Strongly Agree,Agree Somewhat,Agree Somewhat,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Agree Somewhat,Strongly Agree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Strongly Agree,Agree Somewhat,Strongly Agree,Disagree,Extremely uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Characteristic of me,Characteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Characteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Mostly agree,Mostly disagree,Mostly agree,59,147,104
126,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Agree Somewhat,Agree,Strongly Agree,Agree,Agree Somewhat,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree Somewhat,Strongly Agree,Agree Somewhat,Disagree,Agree,Don't Agree or Disagree,Agree,Strongly Disagree,Agree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Disagree,Strongly Agree,,Agree,Agree,Agree Somewhat,Strongly Agree,Agree Somewhat,Somewhat Disagree,Somewhat Disagree,Somewhat characteristic of me,Somewhat characteristic of me,Extremely characteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Characteristic of me,Characteristic of me,Characteristic of me,Uncharacteristic of me,Characteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Characteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely characteristic of me,Somewhat uncharacteristic of me,Extremely characteristic of me,Agree,Strongly agree,Agree,50,145,120
127,18-33,Female,Female,Other (not listed),"Postgraduate Qualification, Masters",Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree Somewhat,Agree Somewhat,Somewhat Disagree,Strongly Disagree,Agree,Don't Agree or Disagree,Agree,Agree Somewhat,Agree,Strongly Agree,Agree Somewhat,Don't Agree or Disagree,Agree Somewhat,Don't Agree or Disagree,Somewhat Disagree,Agree Somewhat,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree Somewhat,Don't Agree or Disagree,Strongly Disagree,,Strongly Agree,Agree,Strongly Agree,Agree Somewhat,Agree Somewhat,Disagree,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Neither characteristic nor uncharacteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Characteristic of me,Somewhat characteristic of me,Characteristic of me,Disagree,Disagree,Mostly disagree,43,130,107
128,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat agree,,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree Somewhat,Agree,Don't Agree or Disagree,Disagree,Agree,Agree Somewhat,Agree Somewhat,Agree,Somewhat Disagree,Agree,Don't Agree or Disagree,Disagree,Disagree,Agree,Disagree,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Somewhat Disagree,Somewhat Disagree,Agree Somewhat,Agree,Don't Agree or Disagree,Disagree,Disagree,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Characteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Characteristic of me,Mostly agree,Mostly agree,Agree,56,132,96
129,18-33,Female,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Agree Somewhat,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree Somewhat,Disagree,Agree,Agree,,Agree,Agree,Agree,Strongly Agree,Don't Agree or Disagree,Agree Somewhat,Strongly Agree,Agree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Strongly Agree,Agree Somewhat,Agree,Strongly Agree,Agree Somewhat,Agree Somewhat,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Mostly agree,Mostly agree,Mostly agree,51,166,70
130,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree Somewhat,Disagree,Don't Agree or Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Agree,Agree,Agree Somewhat,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree Somewhat,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat characteristic of me,Characteristic of me,Neither characteristic nor uncharacteristic of me,Characteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Agree,Mostly agree,Mostly agree,44,95,107
131,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree Somewhat,Agree Somewhat,Agree,Agree,Don't Agree or Disagree,Agree,Agree,Don't Agree or Disagree,Somewhat Disagree,Agree,Agree Somewhat,Disagree,Somewhat Disagree,Agree,Don't Agree or Disagree,Disagree,Don't Agree or Disagree,Don't Agree or Disagree,Don't Agree or Disagree,Somewhat Disagree,Don't Agree or Disagree,Agree Somewhat,Somewhat Disagree,Disagree,Don't Agree or Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Don't Agree or Disagree,Agree Somewhat,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Mostly agree,Mostly agree,Agree,39,130,62
132,,Female,Female,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,,Disagree,Agree Somewhat,Agree Somewhat,Agree,Agree,Agree,Agree Somewhat,Agree,Agree,Agree,Don't Agree or Disagree,Agree,Don't Agree or Disagree,Agree,Don't Agree or Disagree,Somewhat Disagree,Don't Agree or Disagree,Disagree,Don't Agree or Disagree,Somewhat Disagree,Agree Somewhat,Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Somewhat Disagree,Disagree,Somewhat characteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Characteristic of me,Characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Mostly agree,Mostly disagree,Mostly disagree,37,130,98
133,,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Agree Somewhat,Strongly Agree,Disagree,Agree Somewhat,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Disagree,Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Agree Somewhat,Don't Agree or Disagree,Don't Agree or Disagree,Somewhat Disagree,Don't Agree or Disagree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Somewhat Disagree,Disagree,Don't Agree or Disagree,Extremely uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Characteristic of me,Mostly agree,Mostly agree,Agree,48,129,101
134,18-33,Male,Male,Other white ethnic group,Undergraduate Degree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Agree,Strongly Agree,Somewhat Disagree,Agree,Agree,Agree,Strongly Agree,Agree Somewhat,Don't Agree or Disagree,Strongly Agree,Disagree,Somewhat Disagree,Don't Agree or Disagree,Agree,Agree Somewhat,Strongly Disagree,Strongly Agree,Agree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Somewhat Disagree,Disagree,Strongly Disagree,Agree Somewhat,Don't Agree or Disagree,Agree,Agree,Agree Somewhat,Agree,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely characteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Disagree,Disagree,Strongly disagree,28,142,96
