ID,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q1_1,Q1_2,Q1_3,Q1_4,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q4,Q47_1,Q47_2,Q47_3,Q47_4,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q46_8,Q46_9,Q48_1,Q48_2,Q48_3,Q48_4,Q48_5,Q48_6,Q48_7,Q48_8,Q48_9,Q48_10,Q48_11,Q48_12,Q48_13,Q48_14,Q48_15,Q48_16,Q1,Q2,Q3,Q4,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,SC14,SC15,SC16
22,18-33,Male,,Other white ethnic group,"Postgraduate Qualification, Masters",Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a lot,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a lot,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a lot,I did this a lot,I didn't do this at all,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,Several times a day,Several times a week,Several times a day,Once a week,Several times a day,Once a week,Once an hour,Once a week,Once a day,Several times a week,Several times a day,Several times an hour,Several times a week,Several times a week,Several times a week,Several times an hour,Once an hour,Several times a week,Several times a week,Several times a week,Never,Never,Never,Never,Once a week,Once a day,Several times a month,Several times a day,Several times a day,Several times a day,Once a month,Yes,51-100,51-100,0,0,Once a month,Once a month,Never,Never,Once a month,Once a day,Several times a day,Never,Several times a day,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Almost Never,Very Often,Fairly Often,Sometimes,37,73,4,23,20,8,59,10,3,20,16,29,8,23,8,4,17
23,33-48,Female,,"African, African Scottish or African British",PhD or other professional qualification,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,I did this a little bit,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a lot,I didn't do this at all,I did this a lot,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a lot,I did this a medium amount,I did this a little bit,I did this a lot,I did this a lot,I did this a medium amount,I did this a lot,Several times a day,Several times a day,Several times a week,Once a month,Several times a week,Several times a week,Several times a week,Once a month,Several times a day,Several times a week,Several times a week,Several times a month,Several times a week,Once a month,Several times a week,Several times a day,Several times a week,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a week,Several times a day,Several times a month,Several times a week,Several times a month,Never,Never,Yes,501-750,251-375,101-175,0,Several times a day,Several times a day,Several times a week,Once a month,Once a month,Several times a week,Several times a day,Several times a month,Several times a week,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Fairly Often,Sometimes,Sometimes,Very Often,33,77,11,21,13,7,44,6,9,20,5,43,19,30,13,6,10
24,18-33,Female,,,,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,I did this a lot,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a lot,I did this a little bit,I did this a lot,I didn't do this at all,I did this a lot,I did this a lot,I did this a lot,I did this a little bit,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a medium amount,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,All the time,All the time,All the time,All the time,All the time,All the time,Once an hour,All the time,All the time,Once an hour,Several times a day,Once a day,Several times an hour,Several times a day,Several times an hour,All the time,All the time,Once a day,All the time,All the time,All the time,All the time,Several times an hour,Several times an hour,All the time,All the time,All the time,All the time,Several times an hour,Several times an hour,All the time,Yes,251-375,176-250,Jan-50,Jan-50,All the time,All the time,Never,Several times an hour,Several times a day,Once an hour,Once an hour,Once a month,All the time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Sometimes,Very Often,Fairly Often,Sometimes,39,95,5,40,24,20,76,20,29,40,28,65,15,30,15,15,10
25,33-48,Female,,"African, African Scottish or African British",PhD or other professional qualification,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,I did this a medium amount,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a medium amount,Several times a day,Several times a day,Several times a week,Several times a month,Several times a week,Several times a week,Once a week,Several times a week,Several times a week,Several times a week,Several times a day,Several times a month,Several times a week,Several times a month,Several times a day,Several times a day,Several times a day,Several times a month,Several times a month,Several times a month,Once a month,Once a month,Several times a week,Several times a month,Several times a day,Several times a day,Once a month,Several times a week,Several times a month,Never,Never,Yes,501-750,251-375,51-100,0,Several times a day,Several times a week,Several times a month,Once a month,Once a month,Several times a week,Several times a day,Several times a month,Several times a week,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Fairly Often,Sometimes,Almost Never,Very Often,33,75,12,22,12,10,49,6,9,21,5,39,18,27,12,6,12
26,18-33,Female,Female,Other (not listed),Undergraduate Degree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,I did this a little bit,I did this a lot,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a lot,I did this a lot,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a lot,I did this a lot,I did this a medium amount,I did this a lot,I did this a lot,I did this a little bit,I did this a little bit,I did this a lot,I did this a little bit,Several times a day,Several times a day,Once a day,Once a week,Several times an hour,Several times a week,Several times an hour,Several times a week,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a week,Several times an hour,Several times a day,Several times a day,Never,Never,Several times a week,Several times a day,Several times a day,Once a day,Several times an hour,Several times an hour,Several times a day,Several times a day,Once a day,Several times a week,Several times a week,Yes,751 or more,751 or more,251-375,51-100,Several times a week,Once a day,Several times a day,Several times a month,Several times a month,Several times a week,Once an hour,Several times a day,Several times an hour,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Fairly Often,Fairly Often,Sometimes,Very Often,38,79,10,24,25,10,63,2,19,32,16,53,27,21,10,15,12
27,18-33,Male,Male,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a lot,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a lot,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,Once a day,Once a day,Once a day,Once a day,Several times a day,Once a week,Several times a day,Once a week,Once a day,Several times a week,Several times a day,Several times a day,Several times a week,Several times a day,Once a week,Several times a day,Once an hour,Several times a day,Several times a week,Once an hour,Several times a week,Once an hour,Several times a day,Several times a day,Once an hour,Once an hour,Once an hour,Once an hour,Several times a day,Several times a month,Once an hour,Yes,Jan-50,Jan-50,Jan-50,Jan-50,Once a month,Once a month,Once a month,Once a month,Once a month,Once a month,Once a month,Once a month,Once a month,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Fairly Often,37,67,9,24,21,8,56,13,20,32,18,18,8,26,12,12,17
28,18-33,Female,Female,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,I did this a medium amount,I did this a lot,I did this a little bit,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,All the time,All the time,All the time,All the time,All the time,All the time,All the time,Never,All the time,Several times a month,All the time,All the time,All the time,Once a month,Several times an hour,All the time,All the time,Several times a week,Several times a week,Several times a week,Several times a week,Once a day,Never,Never,Several times a week,Several times a day,Several times a day,Once an hour,Once a month,Never,Never,Yes,376-500,251-375,Jan-50,Jan-50,All the time,All the time,Several times a week,Once a month,Once a month,Several times a day,Several times a day,Once a month,All the time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Sometimes,29,74,8,40,25,11,74,10,12,27,4,55,17,30,14,15,12
29,33-48,Female,Non-binary / third gender,Mixed or Multiple Ethnic Groups,PhD or other professional qualification,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,I did this a little bit,I did this a little bit,I didn't do this at all,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a lot,I did this a medium amount,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a lot,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,Several times a day,Several times a day,Once a day,Several times a month,Several times a week,Once a month,Several times a week,Several times a week,Several times a day,Several times a week,Several times an hour,Several times a week,Several times a week,Several times a day,Once a month,All the time,Once a day,Once an hour,Never,Never,Once a month,Once a week,Never,Never,Several times a day,Several times a day,Several times a day,Several times a week,Never,Never,Never,Yes,101-175,Jan-50,Jan-50,0,Never,Never,Never,Never,Never,Several times a month,Once a month,Never,Never,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Very Often,Almost Never,Almost Never,Very Often,34,62,14,23,18,7,56,2,7,26,3,12,9,23,14,10,17
30,18-33,Male,,Other white ethnic group,Undergraduate Degree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a lot,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a little bit,I did this a lot,I did this a lot,I did this a little bit,I did this a little bit,I did this a lot,I did this a lot,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a lot,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a lot,I did this a little bit,I didn't do this at all,All the time,Several times a day,Several times a day,Several times a week,All the time,Once a day,All the time,Never,All the time,Several times a month,All the time,Several times a day,Several times a week,Once a month,Once a month,All the time,All the time,Several times a day,Once a day,Never,Once a month,Several times a week,Several times a month,Never,Once a month,Several times a week,Never,Several times a month,Several times a week,Several times a month,Never,Yes,751 or more,101-175,Jan-50,0,Never,Never,Never,Never,Several times a month,Several times a week,Several times a week,Never,Several times a week,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Very Often,Sometimes,Never,Fairly Often,32,74,13,29,27,7,59,7,10,11,9,23,16,22,8,13,17
31,18-33,Female,Female,Other (not listed),"Postgraduate Qualification, Masters",Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a lot,I did this a lot,Several times a day,Several times a week,Once a day,Several times a month,All the time,,Several times an hour,Never,Several times a week,Several times a week,Several times an hour,All the time,Several times an hour,Several times an hour,Several times an hour,All the time,Several times an hour,Several times an hour,Several times a week,Several times a month,Several times a day,Several times an hour,Never,Several times a month,Several times a week,Several times an hour,Several times an hour,Several times a day,Never,Once a month,Never,Yes,501-750,501-750,Jan-50,0,Several times an hour,Several times a week,Once a day,Never,Once a month,Several times a month,Several times a week,Once a month,Several times a month,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Fairly Often,Almost Never,Almost Never,Very Often,21,71,13,21,28,1,75,8,17,30,4,36,19,27,12,12,7
32,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,I did this a little bit,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a lot,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a lot,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a lot,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a medium amount,Once a day,Once a day,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Never,Once a day,Several times a day,Several times a day,Several times a day,Several times a week,Never,Never,All the time,All the time,Once an hour,Several times a month,Never,Once a week,Several times a week,Never,Never,Never,All the time,Once an hour,Once a day,Several times a month,Once a month,Once a month,Yes,101-175,Jan-50,Jan-50,Jan-50,Several times a week,Once a week,Once a week,Never,Several times a month,Several times a month,Once an hour,Several times a month,Never,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Sometimes,Fairly Often,Sometimes,Almost Never,39,74,6,22,18,6,54,4,10,25,7,32,10,20,10,13,14
33,18-33,Female,,Other British,Undergraduate Degree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a lot,All the time,Several times a day,All the time,Once a week,Several times an hour,Several times a day,Several times a day,Several times a day,Several times a day,Once a week,Once an hour,Several times a day,Several times a day,Several times a day,Once a week,Once an hour,Several times a day,Several times a day,Several times a day,Never,Once a month,Once a month,Never,Never,Several times a day,Several times a day,Never,Once a month,Several times a week,Once a week,Never,Yes,751 or more,501-750,Jan-50,Jan-50,Several times a day,Several times a day,Several times a day,Once a month,Once a month,Several times a week,Several times a day,Once a week,Once a day,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Sometimes,Fairly Often,Fairly Often,Sometimes,40,71,6,31,23,14,59,8,5,17,10,47,21,22,10,11,16
34,18-33,Female,Female,"Arab, Arab Scottish or Arab British",Undergraduate Degree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,I did this a little bit,I did this a little bit,I didn't do this at all,I didn't do this at all,I did this a lot,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a lot,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a lot,I didn't do this at all,I didn't do this at all,I did this a lot,I did this a lot,I did this a little bit,I did this a little bit,Several times a week,Several times a week,Several times a week,Never,Several times an hour,Several times a day,Once an hour,Several times an hour,Several times an hour,Several times an hour,Several times an hour,Several times an hour,Several times an hour,Several times an hour,Several times an hour,Several times an hour,Several times an hour,Several times a day,Several times a week,Several times a week,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Once a day,Once a month,Never,Yes,51-100,51-100,0,0,Several times a day,Several times a day,Never,Once a month,Once a month,Several times a day,Several times a day,Once a month,Several times a day,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Almost Never,Fairly Often,Fairly Often,Almost Never,37,67,4,16,24,16,81,10,18,24,9,42,8,26,11,6,9
35,33-48,Female,Female,Other British,"Postgraduate Qualification, Masters",Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,I did this a medium amount,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a medium amount,All the time,All the time,All the time,Several times a day,Several times a day,Several times a week,Never,Never,All the time,Once a day,All the time,Once a day,All the time,All the time,Several times an hour,Several times an hour,Several times an hour,Several times an hour,Several times an hour,Once a month,Several times a month,Once a month,Never,Once a month,Several times an hour,Once an hour,Once a week,Several times a week,Never,Never,Never,Yes,Jan-50,Jan-50,0,0,Several times a day,Several times a day,Several times a day,Never,Never,Once a day,Once a day,Once a month,Once a month,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Almost Never,Fairly Often,Fairly Often,Almost Never,41,63,4,37,17,6,79,11,6,26,3,39,6,27,12,6,17
36,18-33,Female,Female,,,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,I did this a lot,I did this a little bit,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a little bit,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a little bit,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a little bit,I did this a lot,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a medium amount,I did this a little bit,Several times a day,Several times a day,Several times a day,Several times a month,Several times an hour,Once a month,Several times an hour,Once a month,Several times a day,Once a day,Several times a day,Once a day,Several times a day,Once an hour,Once a day,Once an hour,Several times a day,Once a week,Never,Never,Once a day,Once a week,Never,Never,Several times a day,Several times a day,Several times a week,Several times a month,Never,Never,Never,Yes,501-750,376-500,0,Jan-50,Several times a month,Once a week,Several times a week,Several times a week,Several times a month,Once a day,Several times a day,Several times a day,Several times a day,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Fairly Often,Almost Never,Almost Never,Fairly Often,36,78,12,24,22,4,62,2,11,22,3,47,18,23,8,10,12
37,18-33,Female,,,,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,I did this a lot,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a lot,I didn't do this at all,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a little bit,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a lot,I didn't do this at all,I did this a lot,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,Several times a day,Several times a day,Several times a day,Several times a day,Several times an hour,Several times a day,Several times a day,Once a day,Several times a day,Once a day,Several times a day,All the time,Once an hour,Several times a day,Once an hour,All the time,Once an hour,Several times a day,Several times a week,Several times a week,Several times a day,Several times a day,Several times a week,Several times a week,Several times a day,Once an hour,Once a day,Once a day,Several times a week,Never,Never,Yes,376-500,176-250,101-175,Jan-50,Several times a day,Several times a day,Never,Several times a month,Several times a month,Several times a week,Once a day,Several times a month,Several times a month,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Sometimes,Fairly Often,Sometimes,Sometimes,38,67,7,28,23,13,71,10,19,27,7,38,18,18,8,8,18
38,18-33,Female,,Other (not listed),Undergraduate Degree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I did this a little bit,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a medium amount,I didn't do this at all,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a lot,I didn't do this at all,I didn't do this at all,I did this a lot,I did this a lot,I did this a medium amount,I did this a medium amount,All the time,All the time,All the time,All the time,Several times a week,Several times a month,Once a month,Once a month,All the time,All the time,All the time,All the time,All the time,Once a day,All the time,All the time,All the time,Once an hour,All the time,All the time,All the time,All the time,Never,Never,All the time,All the time,All the time,All the time,All the time,Several times a month,Never,Yes,51-100,51-100,0,0,Once an hour,Once an hour,Once an hour,Never,Never,Once an hour,Once an hour,Never,Several times a day,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Almost Never,Fairly Often,Fairly Often,Sometimes,39,67,5,40,15,5,86,20,21,40,14,50,8,29,10,8,14
