ID,Gender,Age,Role,WorkHrs,Experience,Sleep,MBI_EE1,MBI_EE2,MBI_EE3,MBI_EE4,MBI_EE5,MBI_EE6,MBI_EE7,MBI_EE8,MBI_EE9
36,Female,22,Nurse,51.11,0,8.37,3,4,4,3,3,4,3,4,3
37,Male,37,Doctor,34.33,7,8.03,4,3,3,3,4,4,3,3,4
38,Male,38,Doctor,37.99,13,7.62,2,2,2,2,2,2,2,2,2
39,Female,29,Nurse,62.95,8,3.57,3,4,4,3,3,4,4,4,3
40,Female,46,Nurse,38.41,8,6.71,5,5,5,5,5,4,5,5,5
41,Male,44,Nurse,50,20,7.33,4,3,3,4,4,4,3,3,4
42,Male,35,Doctor,46.63,10,5.51,4,4,4,4,3,4,4,4,4
43,Female,43,Nurse,54.54,21,7.65,4,3,3,3,3,3,3,3,3
44,Male,47,Doctor,46.66,19,7.56,5,5,4,4,4,4,4,6,5
45,Female,34,Doctor,32.49,5,8.96,3,4,3,3,3,3,3,3,3
46,Male,33,Nurse,60.4,11,6.97,5,5,5,5,5,5,4,5,5
47,Female,41,Nurse,47.39,13,8.35,4,4,4,4,4,4,4,4,4
48,Male,40,Nurse,34.77,17,6.9,2,1,2,2,1,3,1,1,1
49,Female,22,Nurse,32.61,2,7.82,4,4,4,4,4,3,3,3,3
50,Female,37,Nurse,41.23,15,6.52,4,4,4,4,4,4,4,4,4
51,Female,39,Doctor,57.01,15,7.26,4,4,4,3,4,4,4,4,4
52,Female,42,Nurse,41.39,18,9.16,1,2,1,3,2,2,1,2,1
53,Male,27,Doctor,44.54,2,7.54,3,3,3,3,3,3,3,4,4
54,Female,35,Nurse,29.3,7,4.83,1,1,2,1,3,2,1,1,1
55,Male,49,Doctor,41.4,16,6.16,6,5,5,5,5,5,5,5,5
56,Male,36,Nurse,43.5,5,8.69,4,4,5,4,4,4,5,4,4
57,Female,41,Doctor,50.65,16,7.61,4,4,5,5,4,4,4,5,5
58,Female,36,Nurse,35.28,17,8.2,3,2,3,3,3,3,3,2,3
59,Male,29,Doctor,32.33,4,8.53,2,3,3,3,3,3,3,3,2
60,Male,33,Doctor,24.66,2,10.45,3,3,2,2,3,3,3,3,3
61,Male,53,Nurse,36.89,23,10.19,3,3,3,3,4,4,4,4,4
62,Female,32,Doctor,34.86,6,8.33,4,4,4,4,4,4,4,4,4
63,Female,31,Nurse,57.12,9,6.94,5,6,6,5,6,6,5,6,6
64,Male,37,Nurse,38.29,10,7.7,4,3,3,4,4,4,3,3,4
65,Male,44,Nurse,45.78,14,5.61,4,5,4,4,4,4,5,4,5
66,Female,43,Doctor,41.39,14,5.99,5,6,5,5,5,5,6,6,5
67,Female,33,Doctor,36.84,8,7.92,3,3,3,3,3,4,4,4,3
68,Female,41,Doctor,40.26,16,8.73,3,3,3,3,3,2,3,3,3
69,Female,30,Doctor,47.71,5,6.56,3,4,3,3,3,4,4,3,4
70,Female,43,Doctor,47.33,17,7.57,4,4,4,4,4,4,4,4,4
71,Female,38,Nurse,38.54,8,7.97,4,4,3,4,4,4,4,4,4
72,Female,25,Nurse,36.56,6,8.75,5,4,4,5,4,5,4,4,4
73,Female,32,Doctor,36.14,8,5.54,4,4,3,3,3,3,3,3,3
74,Female,29,Nurse,45.75,6,6.77,4,4,4,5,4,5,4,4,4
75,Female,34,Doctor,36.44,9,6.84,3,4,4,4,4,3,4,4,3
76,Female,36,Nurse,36.22,15,7.25,4,3,4,4,4,4,4,4,4
77,Female,23,Nurse,51.9,3,7.42,3,3,3,3,3,3,3,3,3
78,Male,37,Nurse,38.62,12,7.41,3,4,3,4,3,3,3,4,4
79,Male,54,Doctor,35.12,28,9.26,4,4,4,4,4,4,4,3,4
80,Male,26,Doctor,45.36,1,7.49,5,4,4,5,4,4,5,4,5
81,Male,25,Nurse,47.15,5,6.39,3,3,3,3,3,3,3,3,3
82,Female,51,Nurse,49.49,22,7.76,5,5,5,6,5,6,5,6,5
83,Female,22,Nurse,48.33,0,6.77,4,4,3,4,3,4,4,3,4
84,Male,47,Nurse,26.73,23,8.32,3,4,3,3,4,3,3,4,3
85,Female,34,Nurse,54.3,15,7.74,3,2,2,2,2,2,2,2,2
86,Male,33,Nurse,60.25,8,4.04,6,6,7,6,4,6,6,5,6
87,Male,35,Nurse,41.62,7,8.2,3,3,3,3,3,3,2,3,1
88,Male,32,Doctor,32.64,8,7.24,2,4,4,4,3,4,4,4,4
89,Female,48,Doctor,50.3,11,6.75,6,6,5,6,6,5,6,5,6
90,Female,26,Nurse,42.2,4,7.62,4,4,4,4,4,4,4,4,3
91,Male,42,Doctor,52.38,17,6.01,5,5,5,5,5,5,5,4,5
92,Male,22,Nurse,45.48,2,6.05,3,4,3,4,4,3,4,4,3
93,Female,33,Doctor,40.41,8,6.73,4,3,4,4,4,3,3,3,4
94,Female,31,Nurse,41.28,5,5.37,5,5,5,5,4,4,5,5,5
95,Male,36,Nurse,34.35,6,8.29,3,3,4,4,4,4,4,4,4
96,Male,41,Doctor,43.88,11,7.88,3,4,4,4,5,5,5,5,5
97,Male,39,Nurse,30.21,15,8.11,3,3,3,3,3,3,3,2,3
98,Male,27,Nurse,46.71,6,8.08,4,4,4,4,4,3,4,3,4
99,Female,31,Nurse,43.36,12,6.96,3,3,3,3,3,3,3,3,2
100,Male,46,Nurse,33.19,15,7.32,2,2,2,2,2,2,2,2,3
101,Female,34,Doctor,65.39,8,4.56,3,3,3,3,3,3,3,3,3
102,Male,46,Doctor,29.04,15,7.74,3,3,3,3,3,3,3,3,3
103,Female,35,Doctor,42.65,10,5.38,3,3,4,3,3,3,4,3,3
104,Female,43,Doctor,29.35,10,9.75,2,3,2,1,2,2,2,2,2
105,Male,34,Doctor,38.91,9,5.95,3,3,3,4,4,4,4,3,3
106,Female,35,Doctor,22.33,5,6.75,0,0,1,0,1,0,0,1,1
107,Female,30,Nurse,34.75,10,8.09,3,3,3,3,3,3,2,3,3
108,Male,40,Doctor,46.62,9,8.36,4,4,4,5,4,5,5,4,4
109,Male,42,Doctor,44.58,12,6.02,4,5,5,4,4,4,4,4,5
110,Male,35,Nurse,39.98,13,9.5,2,1,3,1,1,1,1,1,2
111,Male,39,Nurse,44.77,16,10.48,3,4,4,4,4,4,4,4,3
112,Male,40,Doctor,31.6,2,4.96,5,5,5,4,5,4,5,5,5
113,Male,33,Doctor,37.25,9,6.44,3,2,2,3,2,2,3,2,2
114,Female,32,Doctor,30.48,7,5.68,0,1,1,1,0,1,0,1,1
115,Female,43,Nurse,35.43,5,6.95,5,5,6,5,6,5,6,6,5
116,Male,38,Doctor,57.62,13,6.72,5,5,5,6,6,5,5,5,5
117,Male,47,Nurse,37.88,27,9.63,3,3,2,1,3,3,2,3,3
118,Male,33,Doctor,35.7,8,8.69,4,3,3,4,3,3,3,4,3
119,Male,29,Nurse,39.36,8,6.7,3,3,3,2,3,3,3,3,3
120,Male,23,Nurse,27.15,0,9.05,1,1,1,1,2,1,1,2,2
121,Female,24,Nurse,30.88,0,11.59,1,1,2,2,1,2,2,2,2
122,Female,27,Doctor,35.25,0,4.82,2,2,2,1,2,1,3,2,2
123,Male,34,Doctor,30.72,1,8.67,4,4,4,4,4,4,4,4,4
124,Female,53,Nurse,48.34,21,6.22,4,4,5,5,4,4,4,5,5
125,Female,24,Nurse,55.35,3,6.88,5,5,4,5,4,4,4,5,4
126,Male,37,Doctor,42.65,12,7.83,3,3,3,3,4,4,3,3,3
127,Female,22,Nurse,55.01,1,5.03,3,3,3,3,3,3,3,3,3
128,Transgender,37,Doctor,40.48,10,7.56,3,3,3,3,3,3,3,3,3
129,Male,21,Nurse,23.91,0,6.29,3,3,4,3,3,4,4,3,3
130,Male,32,Doctor,33.26,4,7.76,4,4,4,4,4,5,4,4,4
131,Male,50,Nurse,44.61,19,4.6,4,3,4,4,4,4,4,3,4
132,Female,51,Nurse,37.94,21,6.23,4,4,4,5,4,4,4,3,4
133,Male,40,Doctor,41.55,14,5.73,4,4,4,4,5,5,4,5,4
134,Male,52,Doctor,54.68,24,6.19,5,6,5,5,5,5,6,6,5
135,Male,41,Doctor,45.03,9,4.96,5,6,5,6,6,5,6,6,5
136,Female,32,Doctor,44.75,5,9.4,4,4,3,2,4,3,4,5,4
137,Male,35,Doctor,60.42,10,6.61,3,3,3,3,3,3,2,3,3
138,Male,34,Nurse,42.6,13,7.74,2,3,2,2,3,3,2,2,2
139,Male,27,Doctor,41.42,2,7.15,4,4,4,4,4,4,4,4,4
140,Male,45,Nurse,43.34,13,6.79,5,5,5,4,5,4,5,5,5
141,Not Provided,45,Doctor,21,12,8.55,2,2,2,3,3,2,2,2,3
142,Female,54,Nurse,42.56,32,5.15,5,5,5,5,5,6,5,6,5
143,Female,23,Nurse,43.38,4,8.94,3,2,4,3,3,3,3,3,3
144,Male,33,Nurse,40.59,9,8.07,4,4,3,4,4,5,4,4,4
145,Female,22,Nurse,50.72,0,6.52,5,5,5,5,4,4,5,5,5
146,Male,33,Doctor,19.89,9,9.15,1,0,1,1,1,1,0,0,1
147,Female,29,Nurse,54.79,10,7.36,4,4,3,4,4,4,3,4,4
148,Male,42,Doctor,21.62,12,8.73,0,0,1,1,1,1,1,0,0
149,Male,42,Nurse,25.11,22,9.83,3,2,3,2,3,2,3,2,2
150,Male,48,Doctor,61.01,22,4.08,6,6,5,6,6,6,6,6,6
151,Male,26,Doctor,22.22,0,7.12,0,0,0,0,0,0,0,0,0
152,Female,42,Doctor,32.01,16,9.54,1,2,2,1,2,1,2,2,3
153,Male,31,Nurse,38.09,5,7.98,5,5,5,4,5,4,5,5,5
154,Female,35,Doctor,40.74,11,7.2,3,4,3,3,4,3,3,3,4
155,Male,23,Nurse,53.26,4,6.22,3,3,4,4,3,3,3,3,4
156,Female,22,Nurse,30.54,2,7.86,3,3,3,3,3,2,4,3,3
157,Male,26,Doctor,47.98,0,7.08,4,4,4,4,5,4,4,4,5
158,Not Provided,33,Nurse,54.28,7,3.77,5,5,4,5,5,5,4,5,5
159,Female,37,Nurse,36.02,13,9.86,2,2,2,1,2,1,2,1,2
160,Female,36,Nurse,41.54,6,6.6,4,4,4,4,4,4,4,3,4
161,Male,33,Doctor,33.09,8,7.77,1,2,2,2,1,2,2,1,1
162,Male,29,Doctor,54.44,3,6.54,5,5,5,5,5,5,5,6,6
163,Female,41,Nurse,48.55,11,7.41,5,4,4,4,5,5,4,4,5
164,Female,39,Nurse,37.18,18,9.43,1,1,2,2,1,1,2,1,1
165,Male,20,Nurse,45.9,0,6.11,3,2,2,2,1,3,2,2,1
166,Male,37,Doctor,45.34,11,7.07,5,5,5,5,5,6,6,5,5
167,Female,36,Nurse,31.47,16,8.29,2,2,2,2,3,3,3,3,2
168,Female,28,Nurse,32.82,0,5.79,2,2,2,2,3,2,2,2,2
169,Male,40,Nurse,32.25,16,9.22,1,2,3,2,2,2,3,1,2
170,Male,37,Nurse,37.19,11,9.06,4,4,4,4,4,4,3,4,4
171,Female,23,Nurse,31.55,0,7.11,2,2,3,2,2,2,3,3,2
172,Female,30,Doctor,42.6,6,4.84,4,3,3,3,4,4,4,3,4
173,Nonbinary,30,Nurse,44.32,11,8.89,2,3,3,4,5,4,3,5,4
174,Male,56,Nurse,36.73,27,7.31,1,1,3,2,2,1,2,1,2
175,Male,33,Doctor,50.73,7,6.33,3,3,4,4,3,3,4,3,3
176,Female,53,Nurse,41.11,23,9.15,3,3,4,4,3,3,3,3,3
177,Female,28,Nurse,46.81,8,7.82,3,2,2,2,1,1,1,2,1
178,Not Provided,54,Doctor,39.25,22,6.19,5,5,5,5,5,5,5,5,4
179,Female,39,Doctor,62.2,14,6.56,5,5,4,4,4,5,4,5,5
180,Female,23,Nurse,32.01,0,8.44,4,5,4,4,4,4,5,4,5
181,Female,42,Nurse,52.54,13,6.66,6,5,6,6,6,6,6,6,6
182,Female,39,Doctor,35.67,5,6.41,5,5,5,6,6,5,5,5,5
183,Female,53,Nurse,36.85,26,9.91,5,4,5,5,4,4,4,4,4
184,Male,32,Nurse,36.61,10,5.8,4,4,4,3,3,4,4,4,4
185,Female,47,Nurse,46.94,14,6.84,5,4,5,5,5,5,5,4,5
186,Male,37,Doctor,28.97,8,7.04,2,3,3,3,3,2,2,2,2
187,Male,35,Nurse,43.79,8,6.34,5,5,5,5,5,5,5,4,5
188,Female,29,Nurse,47.2,10,6.98,4,3,5,2,4,4,4,4,3
189,Male,31,Doctor,56.7,7,5.8,4,5,4,5,5,5,4,5,5
190,Not Provided,29,Nurse,44.29,10,7.27,3,3,1,2,3,2,3,3,2
191,Female,51,Nurse,43.1,26,6.25,3,3,4,3,3,3,3,3,3
192,Female,49,Nurse,25.86,25,8.81,3,2,3,3,3,3,3,4,3
193,Male,49,Nurse,35.67,15,6.29,3,4,3,4,3,4,3,4,4
194,Male,39,Nurse,43.76,18,7.58,4,3,4,4,4,4,5,4,4
195,Male,25,Nurse,56.14,6,3.9,5,4,4,4,4,5,5,5,4
196,Male,26,Nurse,43.22,7,8.73,3,3,3,4,3,3,3,3,3
197,Female,37,Nurse,52.23,8,8.63,4,4,4,4,5,4,4,4,4
198,Male,27,Doctor,41.64,1,8.09,3,4,3,3,4,3,3,4,3
199,Female,23,Nurse,38.44,1,6.93,2,3,3,3,2,3,3,2,3
200,Female,40,Nurse,41.66,7,7.66,5,5,4,5,4,5,4,5,5
201,Female,25,Doctor,49.66,0,5.57,3,4,3,3,3,3,3,3,2
202,Female,24,Nurse,27.76,3,7.44,3,2,2,2,3,3,3,3,3
203,Male,42,Doctor,39.04,11,6.87,2,2,2,2,3,3,3,2,2
204,Male,31,Nurse,44.61,11,7.97,4,4,4,5,4,4,4,4,4
205,Female,26,Nurse,55.35,0,7.24,6,6,6,6,4,6,6,6,6
206,Female,22,Nurse,41.82,2,5.52,3,3,2,3,3,3,3,3,3
207,Female,38,Nurse,36.29,10,7.14,4,4,4,4,4,4,4,4,4
208,Male,30,Nurse,43.78,7,8.07,4,4,5,4,4,4,4,4,4
209,Female,49,Nurse,28.46,28,6.08,4,4,4,4,3,3,4,4,4
210,Male,37,Nurse,59.46,13,5.29,5,6,6,5,5,5,5,5,5
211,Female,48,Doctor,48.59,13,6.69,6,5,5,6,5,5,5,5,5
212,Male,34,Nurse,58.1,11,6.44,5,5,5,5,5,5,4,5,5
213,Male,41,Nurse,36.87,10,8.38,4,4,4,4,4,4,4,4,4
214,Female,24,Nurse,41.96,0,6.04,3,3,3,3,2,2,3,3,3
215,Male,30,Nurse,35.29,5,5.63,2,2,3,3,3,2,2,2,2
216,Male,54,Nurse,37.59,18,7.95,3,2,2,3,3,1,3,3,3
217,Male,36,Doctor,42.51,8,8.54,3,3,2,3,3,3,2,3,3
218,Male,31,Nurse,44.95,6,5.05,4,4,2,4,4,4,4,3,4
219,Male,30,Doctor,43.33,8,7.63,5,5,5,5,5,6,5,5,6
220,Female,24,Nurse,46.37,2,8.53,4,4,3,4,3,4,3,4,3
221,Female,39,Nurse,37.18,14,8.41,6,5,5,5,5,6,6,5,6
222,Male,35,Nurse,58.22,16,6.92,5,6,5,5,5,5,5,5,5
223,Male,28,Doctor,50.19,3,8.33,3,4,3,3,3,3,4,3,3
224,Male,40,Doctor,44.36,6,6.66,6,5,5,5,5,6,6,5,5
225,Female,33,Nurse,37.54,9,9.93,3,3,4,4,4,4,4,3,3
226,Female,36,Doctor,47.99,11,7.13,4,5,4,5,4,5,4,5,4
227,Male,26,Doctor,36.05,2,6.59,1,1,1,1,1,1,0,1,1
228,Female,26,Nurse,36.22,4,9.27,3,3,3,3,3,3,3,3,2
229,Female,24,Nurse,29.82,0,7.43,5,5,5,5,5,4,5,5,5
230,Male,40,Nurse,30.96,5,5.96,6,7,7,6,7,6,6,6,5
231,Female,50,Nurse,41.44,19,5.53,5,5,4,4,5,5,4,5,5
232,Male,41,Nurse,37.36,17,8.63,4,3,3,3,3,3,3,3,4
233,Female,51,Nurse,63.81,19,7.47,7,7,7,6,7,7,7,6,7
234,Not Provided,20,Nurse,59.84,0,5.77,5,5,6,5,5,6,5,6,5
235,Male,38,Nurse,38.55,12,4.98,5,5,4,5,5,4,4,5,5
236,Male,32,Nurse,52.71,10,7.49,5,4,5,5,5,4,5,4,4
237,Female,42,Doctor,35.41,17,9.46,1,1,2,3,2,2,2,3,2
238,Female,39,Nurse,64.04,18,4.84,5,5,5,6,5,6,5,6,6
239,Male,34,Doctor,60.82,7,5.2,4,3,4,3,3,3,4,3,3
240,Female,54,Nurse,46.98,26,6.2,4,4,4,4,4,3,4,4,4
241,Female,44,Nurse,32.45,15,8.38,3,2,2,2,2,2,2,2,3
242,Female,20,Nurse,50.52,1,5.77,2,3,2,2,2,2,2,3,2
243,Male,40,Nurse,30.73,11,8.31,4,4,4,3,4,3,4,4,4
244,Female,26,Doctor,45.13,1,8.56,4,4,3,4,4,4,3,4,4
245,Male,45,Nurse,35.55,14,8.64,5,5,5,5,4,5,5,5,5
246,Female,35,Doctor,49.17,10,3.45,4,5,5,5,5,5,5,5,4
247,Male,49,Nurse,49.99,13,6.44,7,6,7,6,7,7,7,7,6
248,Female,22,Nurse,31.72,3,9.09,2,1,1,1,2,2,1,2,2
249,Female,27,Nurse,29.27,4,10.22,3,3,3,3,2,2,3,3,3
250,Male,32,Nurse,17.3,4,11.22,1,2,1,1,1,1,1,1,1
251,Female,29,Nurse,51.73,9,7.55,3,3,3,3,3,2,2,3,2
252,Female,41,Nurse,49.79,12,5.92,4,4,4,4,4,5,5,5,5
253,Female,23,Nurse,29.55,0,8.07,2,3,3,3,2,3,3,3,3
254,Male,25,Nurse,52.54,6,6.66,3,3,4,4,4,4,4,3,3
255,Female,30,Doctor,31.06,6,9.47,2,3,3,3,3,3,3,3,3
256,Male,46,Doctor,41.69,21,6.55,3,3,3,3,4,3,3,3,3
257,Male,31,Nurse,20.22,0,7.93,2,2,3,3,4,2,3,3,2
258,Male,34,Nurse,29.03,9,8.36,2,2,2,3,2,2,1,1,2
259,Female,29,Doctor,35.31,5,5.96,4,5,4,4,4,4,4,5,4
260,Female,36,Doctor,43.35,11,6.84,5,5,5,5,5,6,5,6,6
261,Male,38,Doctor,29.92,10,6.9,3,3,3,2,3,3,3,3,2
262,Female,38,Doctor,55.9,9,6.62,4,3,4,4,4,4,4,3,4
263,Male,45,Doctor,38.13,19,8.11,3,3,4,3,3,3,4,3,3
264,Male,34,Nurse,57.57,13,6.15,7,6,7,7,6,6,7,6,6
265,Female,40,Doctor,26.71,11,7.64,3,3,3,3,3,4,3,3,3
266,Female,33,Nurse,27.66,2,9.68,3,3,3,3,3,3,4,3,3
267,Male,38,Nurse,44.96,10,5.37,4,5,4,4,5,4,5,4,4
268,Female,39,Nurse,38.77,18,8.24,3,2,1,1,1,1,1,2,1
269,Female,40,Nurse,59.97,20,7.91,3,3,3,2,4,3,3,3,3
270,Male,50,Nurse,62.99,23,3.95,6,7,7,6,6,7,5,6,6
271,Male,54,Doctor,68.1,22,6.05,7,7,7,7,7,7,7,7,7
272,Female,38,Nurse,35.94,10,8.17,4,5,4,4,4,4,4,4,4
273,Female,39,Doctor,47.78,14,7.62,4,5,5,5,4,4,4,5,5
274,Female,30,Doctor,57.26,9,6.9,5,5,4,5,5,5,4,5,4
275,Male,48,Doctor,61.69,23,7.04,4,4,4,4,4,5,4,5,5
276,Female,21,Nurse,30.15,0,5.15,1,1,2,1,2,3,2,2,1
277,Female,33,Doctor,53.53,6,7.62,5,5,5,4,5,5,5,5,5
278,Male,31,Nurse,31.14,10,9.8,0,0,0,0,0,1,0,0,0
279,Male,30,Doctor,32.71,3,6.82,3,3,3,4,3,4,3,3,3
280,Male,31,Nurse,64.59,10,6.71,6,7,7,7,7,6,6,7,7
281,Female,28,Nurse,52.66,8,6.71,4,4,4,4,3,4,4,4,4
282,Female,28,Doctor,41.94,4,5.4,3,4,4,4,4,4,4,4,3
283,Female,53,Nurse,48.69,26,9.16,3,4,4,4,4,4,4,5,4
284,Female,27,Nurse,27.42,1,5.32,3,2,3,2,3,1,2,3,3
285,Male,41,Doctor,58.78,14,3,5,5,5,4,4,4,5,5,4
286,Female,34,Nurse,46.79,15,8.58,5,5,4,5,5,5,5,5,5
287,Male,40,Nurse,30.96,12,6.31,4,3,3,4,4,4,4,4,3
288,Male,35,Doctor,36.45,12,7.89,2,2,2,2,1,2,2,2,1
289,Male,32,Nurse,54.42,13,8.67,4,4,4,3,4,4,4,4,4
290,Female,41,Doctor,43.78,15,7.16,2,3,3,3,4,3,3,3,3
291,Male,35,Doctor,34.01,8,7.67,2,2,3,2,2,2,2,2,2
292,Male,27,Nurse,41.2,0,7.22,6,4,4,5,5,4,4,4,5
293,Female,43,Doctor,26.22,14,11.1,3,3,3,3,3,2,3,3,3
294,Female,46,Doctor,42.05,12,6.77,6,5,6,5,6,6,5,6,6
295,Female,46,Nurse,52.12,21,4.66,5,6,6,5,5,6,6,5,6
296,Male,50,Nurse,33.94,16,8.28,3,3,3,4,4,3,3,3,4
297,Male,49,Nurse,55.13,18,7.26,6,6,6,6,6,6,6,6,6
298,Female,51,Doctor,46.26,22,6.96,5,5,4,4,5,5,4,4,4
299,Female,23,Nurse,37.9,4,6.61,1,1,3,2,2,1,1,1,1
300,Female,30,Nurse,36.66,2,7.49,4,4,5,5,4,4,6,4,5
301,Female,50,Doctor,31.88,25,9.56,2,2,2,3,2,3,2,2,2
302,Male,37,Doctor,35.24,0,5.42,6,7,7,7,6,6,7,6,6
303,Transgender,54,Nurse,59.79,21,5.18,5,6,6,5,6,6,5,6,6
304,Male,39,Nurse,45.65,15,5.35,4,4,5,5,5,4,4,4,4
305,Female,43,Doctor,37.54,14,8,3,4,3,4,3,4,4,4,3
306,Male,40,Doctor,60.76,15,8.14,5,4,5,5,5,5,5,5,5
307,Male,37,Doctor,52.71,12,6.24,1,1,1,1,3,1,1,1,1
308,Male,31,Nurse,34.1,1,6.36,6,5,5,5,6,5,6,5,5
309,Female,37,Nurse,37.99,3,6.9,5,5,5,5,5,5,5,5,5
310,Male,33,Doctor,37.01,0,7.92,4,4,5,6,5,5,3,4,5
311,Male,27,Nurse,44.18,0,7.46,5,5,6,5,5,5,5,5,5
312,Female,26,Doctor,46.39,0,4.13,5,5,6,5,5,5,6,6,5
313,Male,26,Doctor,58.98,1,6.45,5,4,4,4,4,5,5,5,5
314,Female,30,Doctor,48.92,4,6.22,4,4,4,4,4,4,4,4,4
315,Male,46,Nurse,32.4,19,8.4,5,5,5,4,4,4,4,4,4
316,Female,28,Nurse,39.08,3,9.95,4,4,3,4,4,4,4,4,4
317,Male,35,Doctor,57.45,12,7.38,5,5,5,5,4,4,4,4,4
318,Male,35,Nurse,50.34,5,5.13,5,6,6,7,6,7,6,7,7
319,Male,36,Doctor,58.65,8,7.25,6,7,6,7,5,6,6,6,6
320,Male,38,Nurse,39.66,4,5.01,4,4,5,4,4,4,5,4,4
321,Female,39,Nurse,21.2,11,7.25,4,3,4,4,4,4,3,3,4
322,Female,28,Nurse,44.31,9,5.93,3,4,4,4,3,4,3,4,3
323,Female,32,Doctor,29.03,8,10.52,3,3,3,3,3,3,3,2,3
324,Female,46,Nurse,47.82,18,7.68,4,3,4,4,4,4,4,4,4
325,Male,36,Doctor,37.85,10,8.21,4,4,4,4,3,4,4,4,5
326,Female,43,Nurse,45.45,17,7.89,4,4,4,4,4,4,4,4,4
327,Female,50,Doctor,30.83,22,8.16,3,3,2,2,2,3,3,3,3
328,Female,35,Nurse,44.01,6,7.8,6,6,6,6,7,6,6,6,6
329,Female,23,Nurse,53.79,1,7.05,4,4,3,3,3,4,4,4,4
330,Male,37,Doctor,38.86,10,9.74,3,4,3,3,3,4,4,3,3
331,Female,33,Nurse,58.2,12,6.62,6,5,6,6,5,5,6,6,5
332,Female,47,Nurse,41.44,17,6.64,3,4,4,4,4,4,4,4,4
333,Female,26,Doctor,49.26,0,5.86,2,2,2,2,2,2,3,2,2
334,Transgender,44,Doctor,32.17,14,8.11,3,3,3,3,3,3,3,3,3
335,Male,22,Nurse,41.47,1,5.85,5,4,4,4,4,4,4,4,4
336,Male,47,Nurse,48.91,20,6.6,5,5,5,5,5,5,7,6,5
337,Male,37,Doctor,33.61,13,7.64,1,1,1,1,1,1,2,1,1
338,Female,21,Nurse,41.63,3,5.98,3,2,3,3,3,3,3,2,3
339,Female,56,Nurse,21.85,26,5.57,3,2,3,3,3,3,3,3,3
340,Female,32,Doctor,40.29,2,8.87,3,2,3,3,3,3,2,2,1
341,Male,40,Doctor,40.11,15,6.88,6,6,5,6,6,5,6,6,5
342,Female,39,Doctor,32.23,4,8.21,4,5,5,4,4,5,5,5,4
343,Female,51,Nurse,39.43,25,7.67,3,2,2,2,2,2,2,2,1
344,Female,28,Doctor,42.08,0,8.48,2,2,2,2,3,3,3,3,3
