ID,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Introduction,Equality,Need,Equity,Entitlement,Q1,Q2,Q3,Q4,Q5,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q1,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q5_4_TEXT,Q6,Q6_4_TEXT,Q7,Q8,Q9,Q10,Q10_9_TEXT,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8,Q11.9,Q11.10,Q11.11,Q11.12,Q12.1,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7,Q12.8,Q12.9,SC0,SC1,SC2
61,18-33,Female,,Other white ethnic group,"Postgraduate Qualification, Masters",Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Undecided,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Undecided,Undecided,Undecided,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,15 minutes,,Yes,,Yes,,Vegetarian with fish products,1-2 months,Maybe,Vegetarian Diet,,Disagree,Agree,Not Sure,Agree,Not Sure,Not Sure,Disagree,Agree,Agree,Not Sure,Disagree,Not Sure,Not Sure,Disagree,Agree,Agree,Not Sure,Not Sure,Not Sure,Agree,Not Sure,102,17,26
62,18-33,Female,,Other British,Undergraduate Degree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Undecided,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Undecided,Undecided,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree completely,Disagree,Disagree,Agree,Disagree completely,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,Eat all animal products,"Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,15 minutes,,Maybe,,Yes,,Vegan,6 months or more,Maybe,Vegetarian Diet,,Disagree,Strongly Disagree,Not Sure,Strongly Agree,Not Sure,Agree,Strongly Disagree,Disagree,Strongly Agree,Not Sure,Not Sure,Not Sure,Strongly Disagree,Not Sure,Not Sure,Strongly Agree,Not Sure,Disagree,Not Sure,Disagree,Not Sure,103,14,21
63,18-33,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Strongly Agree,Disagree,Agree,Agree,Agree,Undecided,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Undecided,Agree,Disagree,Agree,Strongly Agree,Agree,Undecided,Strongly Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,30 minutes,,Maybe,,Maybe,,Vegetarian,2-4 weeks,Yes,I have never been on a diet,,Disagree,Agree,Not Sure,Strongly Agree,Not Sure,Disagree,Disagree,Disagree,Agree,Not Sure,Disagree,Disagree,Agree,Disagree,Agree,Agree,Not Sure,Agree,Disagree,Disagree,Not Sure,83,16,23
64,18-33,Female,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Undecided,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree completely,Agree completely,Neither agree nor disagree,Disagree completely,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,5 minutes,,Yes,,Yes,,Vegan,6 months or more,Yes,Vegetarian Diet,,Strongly Disagree,Agree,Disagree,Agree,Not Sure,Agree,Not Sure,Agree,Agree,Agree,Disagree,Disagree,Not Sure,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,102,18,25
65,33-48,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Strongly Agree,Disagree,Agree,Strongly Agree,Undecided,Disagree,Undecided,Undecided,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree completely,Agree,Agree,Neither agree nor disagree,Disagree,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,15 minutes,,Maybe,,Yes,,Vegan,1-2 months,Maybe,Vegetarian Diet,,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,96,18,23
67,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Strongly Agree,Undecided,Disagree,Strongly Agree,Strongly Disagree,Undecided,Agree,Agree,Undecided,Agree,Undecided,Disagree,Undecided,Disagree,Agree,Agree,Strongly Agree,Undecided,Strongly Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree completely,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,30 minutes,,No,,No,,Vegetarian with fish products,2-4 weeks,Maybe,I have never been on a diet,,Agree,Agree,Not Sure,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Not Sure,Disagree,Disagree,Agree,Disagree,Agree,Agree,Not Sure,Agree,Strongly Agree,Agree,Agree,84,13,21
68,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,Other (please specify),30 days,No,,No,,Vegetarian,1-2 months,Yes,I have never been on a diet,,Agree,Disagree,Not Sure,Agree,Disagree,Agree,Disagree,Disagree,Agree,Not Sure,Agree,Disagree,Disagree,Disagree,Not Sure,Agree,Agree,Agree,Agree,Disagree,Agree,85,14,24
69,18-33,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Strongly Agree,Disagree,Undecided,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree completely,Disagree,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat red/white meat, fish, dairy, and eggs",Similar to a vegan/vegetarian diet,15 minutes,,Maybe,,No,,Vegetarian,2-4 weeks,Maybe,I have never been on a diet,,Agree,Disagree,Not Sure,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Not Sure,Disagree,Agree,Not Sure,Agree,Agree,Not Sure,Not Sure,Agree,Agree,Agree,86,17,22
70,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Strongly Agree,Undecided,Undecided,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Undecided,Agree,Strongly Agree,Undecided,Undecided,Strongly Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree completely,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Eat all animal products,"Do not eat red/white meat, fish, dairy, and eggs",Meat is limited or excluded,15 minutes,,Maybe,,No,,Vegetarian with fish products,Less than 1 week,Maybe,I have never been on a diet,,Not Sure,Agree,Agree,Not Sure,Not Sure,Disagree,Agree,Not Sure,Agree,Agree,Not Sure,Agree,Not Sure,Disagree,Not Sure,Not Sure,Agree,Not Sure,Agree,Disagree,Not Sure,83,12,26
71,18-33,Female,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Undecided,Undecided,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Do not eat red/white meat, but DO eat fish","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,15 minutes,,Maybe,,Yes,,Vegan,2-4 weeks,Yes,Vegetarian Diet,,Not Sure,Disagree,Not Sure,Agree,Agree,Not Sure,Disagree,Agree,Agree,Agree,Agree,Not Sure,Agree,Disagree,Agree,Agree,Disagree,Not Sure,Agree,Disagree,Disagree,103,16,25
73,18-33,Female,Female,Other British,Undergraduate Degree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Undecided,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Undecided,Strongly Disagree,Strongly Disagree,Strongly Disagree,Undecided,Undecided,Undecided,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree completely,Neither agree nor disagree,Disagree,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,30 minutes,,Maybe,,Yes,,Vegan,6 months or more,Yes,Mediterranean Diet,,Not Sure,Strongly Disagree,Disagree,Agree,Not Sure,Agree,Disagree,Not Sure,Agree,Not Sure,Agree,Not Sure,Not Sure,Disagree,Not Sure,Not Sure,Agree,Not Sure,Disagree,Not Sure,Agree,102,16,26
74,18-33,Female,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Undecided,Agree,Undecided,Disagree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,15 minutes,,Maybe,,Yes,,Vegan,2-4 weeks,Maybe,Vegetarian Diet,,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Not Sure,Disagree,Not Sure,Not Sure,Strongly Disagree,Agree,Agree,Not Sure,Agree,Not Sure,Disagree,Not Sure,100,15,26
75,18-33,Female,,,,Strongly Agree,Undecided,Agree,Strongly Agree,Undecided,Agree,Strongly Disagree,Undecided,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Undecided,Agree,Strongly Disagree,Undecided,Agree,Agree completely,Neither agree nor disagree,Agree,Agree,Agree,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,50 minutes,,No,,No,,Vegan,6 months or more,Yes,I have never been on a diet,,Agree,Disagree,Not Sure,Agree,Agree,Not Sure,Disagree,Agree,Agree,Not Sure,Agree,Not Sure,Agree,Not Sure,Not Sure,Agree,Disagree,Not Sure,Not Sure,Disagree,Not Sure,93,20,27
77,18-33,Female,,Other British,"Postgraduate Qualification, Masters",Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Undecided,Undecided,Strongly Agree,,Strongly Agree,Strongly Agree,Agree completely,Agree completely,Agree completely,Disagree completely,Neither agree nor disagree,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,30 minutes,,Yes,,Yes,,Vegan,6 months or more,Yes,Vegan Diet,,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Not Sure,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,109,19,27
78,18-33,Female,,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Strongly Agree,Disagree,Undecided,Strongly Agree,Undecided,Strongly Disagree,Undecided,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Undecided,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree completely,Agree,Agree,Agree,Disagree,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,15 minutes,,Yes,,Yes,,Vegan,6 months or more,Yes,Vegetarian Diet,,Disagree,Disagree,Not Sure,Agree,Disagree,Not Sure,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,106,19,23
79,33-48,Female,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Undecided,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Undecided,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree completely,Disagree,Agree completely,Neither agree nor disagree,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,Other (please specify),Depends on the persons thinking.,Maybe,,Other (please specify),Do not mind giving meat up not I do not like the taste of soya,Vegan,6 months or more,Maybe,I have never been on a diet,,Strongly Disagree,Not Sure,Strongly Disagree,Disagree,Not Sure,Disagree,Not Sure,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Not Sure,Strongly Disagree,Agree,Agree,Agree,Not Sure,Agree,Disagree,Disagree,108,19,25
81,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Undecided,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Undecided,Agree,Disagree,Strongly Agree,Agree completely,Disagree,Disagree,Agree,Disagree completely,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Meat is limited or excluded,50 minutes,,Maybe,,No,,Vegetarian,2-4 weeks,Maybe,I have never been on a diet,,Not Sure,Agree,Agree,Agree,Agree,Not Sure,Agree,Strongly Agree,Strongly Agree,Agree,Not Sure,Not Sure,Agree,Disagree,Agree,Agree,Not Sure,Agree,Agree,Not Sure,Agree,81,14,24
82,18-33,Female,Female,,,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree completely,Agree,Agree,Agree,Disagree,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,Other (please specify),10 minutes,Yes,,Yes,,Vegetarian,1-2 months,Yes,Vegetarian Diet,,Disagree,Disagree,Disagree,Strongly Agree,Agree,Not Sure,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,102,19,26
83,33-48,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Undecided,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Undecided,Strongly Agree,Strongly Disagree,Undecided,Strongly Agree,Agree completely,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,Other (please specify),1,Maybe,,Yes,,Vegetarian,6 months or more,Yes,Pescatarian Diet,,Not Sure,Not Sure,Not Sure,Strongly Agree,Not Sure,Not Sure,Not Sure,Strongly Agree,Strongly Agree,Not Sure,Strongly Agree,Agree,Not Sure,Not Sure,Not Sure,Not Sure,Agree,Not Sure,Not Sure,Strongly Disagree,Strongly Disagree,99,18,25
84,18-33,Female,,Other white ethnic group,Undergraduate Degree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Undecided,Strongly Agree,Disagree,Strongly Agree,Undecided,Disagree,Disagree,Disagree,Disagree,Agree,Undecided,Strongly Disagree,Agree,Agree,Agree completely,Neither agree nor disagree,Agree completely,Agree completely,Agree,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat red/white meat, fish, dairy, and eggs",Similar to a vegan/vegetarian diet,Other (please specify),1 week,No,,No,,Vegan,Less than 1 week,No,Vegetarian Diet,,Disagree,Disagree,Disagree,Agree,Not Sure,Agree,Disagree,Agree,Agree,Agree,Agree,Not Sure,Not Sure,Agree,Disagree,Not Sure,Agree,Not Sure,Not Sure,Strongly Agree,Not Sure,93,22,24
85,18-33,Female,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Undecided,Undecided,Undecided,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat red/white meat, fish, dairy, and eggs",Similar to a vegan/vegetarian diet,15 minutes,,No,,Yes,,Vegetarian,1-2 months,Yes,Vegetarian Diet,,Agree,Agree,Not Sure,Agree,Agree,Agree,Not Sure,Agree,Agree,Agree,Agree,Not Sure,Disagree,Disagree,Not Sure,Not Sure,Disagree,Not Sure,Not Sure,Disagree,Disagree,96,17,24
86,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Agree,Undecided,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Undecided,Agree,Agree,Undecided,Agree,Agree,Agree,Disagree completely,Disagree,Agree,Disagree,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)","Do not eat red/white meat, fish, dairy, and eggs",Similar to a vegan/vegetarian diet,30 minutes,,No,,Yes,,Vegetarian,2-4 weeks,Yes,Vegan Diet,,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Not Sure,Agree,Agree,Not Sure,Disagree,Not Sure,Not Sure,Agree,Not Sure,Not Sure,Not Sure,Disagree,78,13,25
