ID,Age,Gender,Employed,StudyYear,PSS
207,21,Female,No,4,15
208,23,Female,No,4,20
209,19,Female,No,2,25
210,19,Female,No,3,25
211,21,Female,No,4,19
212,19,Male,No,2,17
213,18,Female,No,2,17
214,19,Male,No,1,28
215,21,Female,Y,4,27
216,18,Female,No,2,12
217,20,Female,No,2,26
218,22,Male,No,4,16
219,21,Female,No,4,15
220,18,Female,No,1,6
221,20,Female,No,3,7
222,20,Female,Y,3,24
223,19,Male,Y,2,29
224,21,Female,No,4,20
225,18,Female,Yes,1,32
226,19,Male,Yes,2,19
227,19,Female,Yes,2,20
228,19,Male,No,3,33
229,19,Female,No,3,31
230,20,Female,No,2,29
231,18,Male,No,1,22
232,21,Female,Yes,4,32
233,19,Male,Y,1,30
234,21,Female,No,4,16
235,24,Male,No,2,16
236,19,Male,No,3,21
237,21,Female,No,4,22
238,19,Female,No,3,29
239,22,Female,No,4,5
240,18,Female,Yes,1,31
241,26,Male,No,1,23
242,19,Male,Yes,2,14
243,18,Male,No,1,23
244,21,Male,Yes,4,19
245,21,Female,Yes,4,19
246,19,Male,No,2,18
247,18,Male,Yes,1,26
248,18,Male,Yes,1,30
249,20,Male,Yes,3,32
250,19,Male,No,2,15
251,23,Male,No,4,17
252,19,Male,No,3,9
253,21,Male,No,4,22
254,19,Female,No,2,27
255,21,Male,Yes,4,15
256,23,Male,Yes,4,23
257,22,Male,No,4,12
258,20,Female,Yes,3,29
259,21,Male,Yes,4,24
260,20,Male,No,3,18
261,20,Male,No,3,32
262,21,Male,No,4,27
263,21,Female,No,4,30
264,21,Male,Yes,4,19
265,22,Male,No,4,25
266,19,Female,No,3,18
267,19,Female,No,1,36
268,21,Male,Yes,3,13
269,21,Female,No,3,18
270,18,Male,No,2,26
271,20,Male,No,2,15
272,22,Male,No,4,27
273,18,Male,No,1,18
274,20,Male,No,2,26
275,19,Female,Yes,2,12
276,19,Female,No,2,16
277,21,Male,Yes,4,27
278,21,Female,No,4,18
279,21,Male,No,4,24
280,19,Female,No,2,17
281,19,Female,No,2,20
282,18,Male,No,2,12
283,22,Female,No,4,33
284,19,Female,Yes,2,17
285,22,Female,Yes,4,10
286,21,Female,No,3,24
287,18,Female,Yes,1,19
288,27,Female,No,2,10
289,20,Female,No,3,7
290,19,Male,Yes,1,29
291,21,Male,No,3,16
292,20,Male,No,2,24
293,21,Female,Yes,4,23
294,21,Female,No,3,13
295,22,Female,Yes,4,27
296,18,Male,No,1,28
297,19,Male,No,3,24
298,21,Female,Yes,4,9
299,18,Female,No,1,26
300,18,Male,Yes,1,27
301,19,Male,No,2,15
302,21,Female,Yes,4,17
303,18,Male,Yes,1,9
304,19,Female,No,2,22
305,22,Female,Yes,4,36
306,21,Male,No,4,17
307,18,Male,N,1,11
308,19,Male,No,2,14
309,22,Male,Yes,4,13
310,18,Male,Yes,2,17
311,18,Female,No,2,16
312,20,Female,No,2,14
313,19,Male,Yes,2,18
314,18,Male,Yes,1,19
315,18,Female,Yes,1,27
316,21,Male,No,4,28
317,19,Male,Yes,2,30
318,19,Female,Yes,2,28
319,21,Male,Yes,3,35
320,20,Male,No,2,18
321,21,Male,No,4,15
322,19,Male,No,1,22
323,22,Male,No,4,16
324,19,Male,No,3,23
325,19,Female,No,2,12
326,21,Male,No,4,13
327,21,Male,No,4,22
328,19,Male,No,1,9
329,20,Female,No,3,19
330,18,Female,No,2,18
331,18,Female,No,2,16
332,20,Female,Yes,3,14
333,19,Male,No,1,25
334,18,Female,No,1,6
335,19,Male,No,2,23
336,19,Male,No,3,14
337,18,Female,No,1,22
338,19,Male,No,2,7
339,20,Male,No,2,10
340,21,None Given,Yes,4,11
341,21,Male,Y,4,25
342,19,Male,Yes,2,23
343,18,Male,No,1,23
344,21,None Given,No,3,23
345,19,Male,No,3,22
346,22,Male,Yes,4,25
347,20,Female,No,3,24
348,19,Female,No,2,0
349,21,Female,No,4,15
350,18,Male,No,1,35
351,20,Female,N,3,7
352,18,Male,No,2,33
353,18,Female,No,1,18
354,18,Male,Yes,1,20
355,21,Female,No,4,13
356,18,Female,Yes,1,34
357,18,Female,No,1,17
358,18,Male,Yes,1,24
359,21,Male,Yes,3,19
360,21,Female,No,4,31
361,20,Female,No,3,19
362,18,Female,No,1,5
363,22,Female,Yes,3,10
364,20,Male,Yes,2,29
365,19,Male,Yes,2,36
366,18,Male,No,1,25
367,18,Female,No,1,11
368,19,Female,No,3,18
369,19,Female,No,3,13
370,29,Female,No,3,12
371,19,Male,No,2,22
372,18,Male,Yes,1,24
373,19,Female,No,1,23
374,19,Male,No,2,12
375,21,Female,No,4,21
376,19,Male,No,3,17
377,21,Female,Yes,4,29
378,21,Female,No,3,16
379,20,Female,No,3,21
380,35,Female,No,3,27
381,18,Female,No,1,20
382,21,Female,Yes,4,18
383,20,Male,Yes,3,19
384,20,Female,No,2,27
385,22,Female,No,4,19
386,18,Female,Yes,1,29
387,19,Male,No,3,26
388,21,Male,No,4,5
389,21,Male,Yes,4,26
390,18,Male,No,1,6
391,21,Male,No,3,20
392,18,Male,No,1,13
393,21,Female,No,3,21
394,19,Female,No,2,17
395,18,Female,No,1,21
396,18,Male,No,2,16
397,19,Female,No,2,26
398,23,Male,No,3,13
399,21,Female,No,4,24
400,19,Male,No,1,14
401,19,Female,Yes,2,23
402,19,Female,No,1,20
403,18,Male,No,1,36
404,20,Female,No,3,20
405,20,Female,Yes,2,23
406,19,Female,No,3,24
407,21,Male,No,4,22
408,20,Female,Yes,3,19
409,21,Female,No,4,10
410,18,Male,Yes,1,28
411,21,Male,No,3,18
412,21,Female,Yes,4,18
413,19,Transgender,Yes,3,5
414,19,Male,No,3,21
415,20,Male,Yes,3,19
416,28,Female,No,1,8
417,22,Male,Yes,4,4
418,20,Female,No,3,15
419,18,Female,Yes,1,27
420,21,Female,No,4,29
421,18,Male,Yes,1,14
422,25,Female,No,3,8
423,20,Female,No,2,18
424,32,Female,Yes,2,15
425,19,Female,No,3,29
426,18,Female,Yes,2,21
427,18,Male,No,2,13
428,19,Female,No,2,19
429,19,Transgender,Yes,1,28
430,18,Male,Yes,1,23
431,20,Female,No,2,14
432,18,Male,No,1,16
433,20,Male,No,2,11
434,19,Female,No,3,0
435,21,Female,Yes,4,24
436,21,Female,Yes,3,15
437,18,Female,Yes,1,17
438,20,Female,Yes,2,23
439,20,Female,No,3,26
440,19,Male,Yes,2,34
441,18,Female,No,1,6
442,21,Male,Yes,3,13
443,19,Female,No,1,21
444,19,Female,No,1,25
445,22,Male,No,4,27
446,18,Female,No,1,22
447,19,Male,No,3,18
448,19,Female,No,2,18
449,20,Male,No,3,22
450,21,Female,No,4,15
451,21,Female,No,4,10
452,19,Female,No,2,18
453,21,Male,No,4,7
454,23,Female,No,2,17
455,21,Male,No,4,29
456,19,Male,Yes,2,26
457,19,Female,Yes,2,25
458,18,Female,Y,2,23
459,18,Male,No,1,22
460,21,Male,No,3,10
461,21,Male,No,4,2
462,21,Female,No,3,10
463,21,Female,No,4,24
464,20,Male,No,2,3
465,18,Male,No,1,12
466,20,Male,No,3,32
467,21,Male,No,4,23
468,19,Male,No,2,17
469,22,Male,No,4,9
470,18,Male,No,1,19
471,22,Male,No,4,15
472,22,Male,Yes,4,40
473,28,Male,Yes,3,16
474,20,Female,No,3,24
475,19,Female,Yes,2,27
476,37,Male,Y,4,17
477,19,Female,No,3,15
478,18,Female,Yes,1,17
479,18,Male,Yes,1,27
480,20,Female,No,3,13
481,21,Male,Yes,4,23
482,18,Female,Yes,1,25
483,20,Female,No,2,10
484,25,Male,Yes,2,20
485,22,Male,No,4,30
486,19,Transgender,Yes,3,14
487,19,Female,No,1,15
488,20,Female,No,3,14
489,23,Female,Yes,1,14
490,21,Female,Yes,4,24
491,20,Male,No,3,18
492,18,Female,No,2,14
493,18,Male,No,1,23
494,21,Male,No,4,19
495,19,Female,No,2,19
496,19,Male,No,1,26
497,20,Female,No,2,18
498,18,Female,No,1,17
499,22,Female,Yes,4,21
500,21,Male,No,4,20
501,25,Female,Yes,4,24
502,19,Female,No,3,27
503,20,Female,No,4,26
504,20,Male,Yes,2,26
505,21,Male,No,4,6
506,22,Male,No,4,27
507,21,Male,No,4,23
508,18,Female,No,1,21
509,22,Female,No,4,21
510,20,Male,No,3,15
511,19,Male,No,2,17
512,21,Female,No,4,12
513,20,Male,No,3,13
514,21,Male,No,4,26
515,19,Female,No,3,21
516,19,Female,No,1,27
517,21,Male,No,4,28
518,22,Male,No,4,23
519,18,Female,No,1,21
520,20,Male,Y,3,8
521,22,Female,No,4,19
522,18,Male,No,1,20
523,21,Male,N,3,22
524,20,Male,N,3,21
525,19,Female,No,2,27
526,22,Female,No,4,24
527,20,Male,No,2,18
528,20,Male,No,3,19
