ID,Gender,Age,Group,Correct
98,2,6.39,Mouth Obstructed,35
99,2,11.63,Mouth Obstructed,11
100,1,10.14,Mouth Obstructed,12
101,1,10.04,Mouth Obstructed,19
102,2,10.5,Mouth Obstructed,2
103,1,11.36,Mouth Obstructed,4
104,2,8.01,Mouth Obstructed,13
105,1,6.88,Mouth Obstructed,19
106,1,9.67,Mouth Obstructed,19
107,1,7.12,Mouth Obstructed,20
108,1,11.78,Mouth Obstructed,2
109,1,7.12,Mouth Obstructed,21
110,2,8.83,Mouth Obstructed,12
111,2,11.87,Mouth Obstructed,6
112,1,6.26,Mouth Obstructed,15
113,1,8.02,Mouth Obstructed,20
114,2,10.81,Mouth Obstructed,20
115,2,8.07,Mouth Obstructed,5
116,1,7.71,Mouth Obstructed,7
117,1,11.07,Mouth Obstructed,27
118,2,8.79,Mouth Obstructed,22
119,1,7.71,Mouth Obstructed,23
120,1,9.11,Mouth Obstructed,4
121,2,9.71,Eyes Obstructed,21
122,1,10.18,Eyes Obstructed,27
123,2,12.44,Eyes Obstructed,4
124,2,8.89,Eyes Obstructed,31
125,1,8.51,Eyes Obstructed,8
126,2,6.25,Eyes Obstructed,24
127,1,8.55,Eyes Obstructed,17
128,1,9.28,Eyes Obstructed,19
129,1,12.52,Eyes Obstructed,24
130,2,10.47,Eyes Obstructed,19
131,1,12.57,Eyes Obstructed,18
132,2,7.87,Eyes Obstructed,12
133,2,7.14,Eyes Obstructed,18
134,2,6.67,Eyes Obstructed,13
135,1,11.33,Eyes Obstructed,7
136,2,7.12,Eyes Obstructed,12
137,1,6.65,Eyes Obstructed,10
138,2,12.72,Eyes Obstructed,9
139,2,9.97,Eyes Obstructed,16
140,1,9.37,Eyes Obstructed,18
141,2,7.62,Eyes Obstructed,24
142,1,6.39,Eyes Obstructed,6
143,2,9.13,Eyes Obstructed,2
144,2,10.92,Eyes Obstructed,22
145,1,9.11,Eyes Obstructed,20
146,1,7.46,Eyes Obstructed,10
147,1,6.83,Eyes Obstructed,21
148,1,6.58,Eyes Obstructed,33
149,1,11.2,Eyes Obstructed,14
150,1,11.35,Eyes Obstructed,14
151,2,12.52,Eyes Obstructed,23
152,1,10.36,Eyes Obstructed,12
153,1,11.34,Eyes Obstructed,14
154,2,6.51,Eyes Obstructed,18
155,1,10.25,Eyes Obstructed,14
156,2,10.35,Eyes Obstructed,17
157,2,11.19,Eyes Obstructed,22
158,1,12.35,Eyes Obstructed,16
159,2,9.91,Eyes Obstructed,12
160,1,8.77,Eyes Obstructed,11
161,2,12.41,Eyes Obstructed,15
162,2,7.72,Eyes Obstructed,11
163,2,8.05,Eyes Obstructed,12
164,2,7.72,Eyes Obstructed,14
165,1,9.66,Eyes Obstructed,10
166,1,9.27,Eyes Obstructed,11
167,2,6.78,Eyes Obstructed,21
168,2,11.71,Eyes Obstructed,10
169,2,9.02,Eyes Obstructed,25
170,1,9.02,Eyes Obstructed,21
171,1,7.27,Eyes Obstructed,30
172,2,6.9,Eyes Obstructed,25
173,2,10.24,Eyes Obstructed,23
174,1,7.91,Eyes Obstructed,25
175,2,9.75,Eyes Obstructed,27
176,2,10.42,Eyes Obstructed,13
177,1,10.45,Eyes Obstructed,29
178,2,6.19,Eyes Obstructed,17
179,1,8.28,Eyes Obstructed,29
180,1,9.65,Eyes Obstructed,9
