ID,Age,Gender,SE1,SE2,SE3,SE4,AntisocialBehaviour,SEcategory,ParentalPressure
58,17,F,4,3,3,4,24,High,High
59,19,F,2,4,3,3,22,Low,High
60,15,F,5,5,3,4,21,High,Low
61,16,M,3,3,3,2,7,Low,High
62,16,M,4,4,4,4,15,High,Low
63,16,F,4,2,2,3,14,Low,High
64,16,F,2,3,2,4,11,Low,Low
65,14,M,3,3,2,2,23,Low,Low
66,18,M,3,4,4,3,14,High,High
67,16,M,4,3,4,4,17,High,Low
68,13,M,3,2,3,3,10,Low,High
69,17,F,3,3,3,3,14,Low,Low
70,17,M,2,3,4,4,15,High,High
71,17,F,3,3,2,1,22,Low,Low
72,15,M,3,3,2,5,15,High,Low
73,17,M,3,2,3,3,12,Low,High
74,14,F,2,3,2,2,15,Low,Low
75,16,M,1,2,1,2,11,Low,Low
76,18,M,5,2,2,3,13,Low,High
77,15,F,3,3,1,3,15,Low,Low
78,14,F,3,2,2,3,16,Low,Low
79,14,F,3,4,2,2,9,Low,Low
80,17,F,3,4,3,4,11,High,Low
81,17,M,3,3,2,3,13,Low,High
82,14,F,3,3,5,3,17,High,High
83,14,F,3,2,3,3,12,Low,High
84,16,F,3,3,5,4,23,High,High
85,17,F,4,4,4,3,18,High,Low
86,16,M,3,3,4,2,13,Low,Low
87,14,F,4,4,2,3,12,High,Low
88,15,F,4,4,3,4,17,High,Low
89,16,F,3,3,3,2,12,Low,High
90,18,F,3,4,3,3,12,High,Low
91,17,M,3,3,4,2,17,High,High
92,16,F,4,4,5,4,25,High,High
93,18,M,3,2,3,3,17,Low,Low
94,13,M,3,2,3,4,6,High,Low
95,17,M,3,2,3,2,13,Low,High
96,17,M,2,3,4,4,19,High,Low
97,17,M,4,4,3,2,8,High,High
98,14,M,4,3,2,2,10,Low,High
99,16,M,3,3,3,3,17,Low,High
100,18,M,3,3,4,3,12,High,Low
101,18,M,2,4,3,3,14,Low,Low
102,17,M,3,3,4,3,17,High,High
103,16,M,3,4,3,3,24,High,Low
104,15,F,2,4,4,2,12,Low,Low
105,15,F,3,3,4,4,11,High,High
106,15,M,3,3,4,4,25,High,High
107,18,F,3,4,3,4,12,High,Low
108,17,F,2,2,2,3,10,Low,High
109,16,M,4,4,3,2,21,High,High
110,17,F,3,3,3,3,16,Low,High
111,15,M,5,5,5,5,25,High,High
112,18,F,2,2,1,2,11,Low,Low
113,16,M,3,3,2,0,19,Low,High
114,17,F,2,2,1,2,8,Low,Low
115,15,M,1,3,1,4,11,Low,High
116,17,F,4,4,4,3,17,High,High
117,18,F,3,1,3,3,12,Low,High
118,14,F,4,3,4,5,20,High,Low
119,16,F,4,4,3,4,14,High,Low
120,13,M,3,2,2,2,16,Low,High
121,14,F,4,5,4,5,23,High,Low
122,15,M,4,3,3,4,19,High,Low
123,17,M,3,2,3,2,16,Low,High
124,15,M,5,5,3,5,11,High,Low
125,17,M,5,3,4,3,12,High,Low
126,16,F,3,3,5,4,12,High,Low
127,14,M,4,5,4,3,16,High,Low
128,16,M,3,4,5,4,16,High,Low
129,14,M,3,4,4,4,23,High,High
130,15,M,4,5,3,4,12,High,Low
131,17,F,3,3,2,4,15,Low,High
132,19,F,2,1,2,3,17,Low,High
133,16,M,3,2,2,2,18,Low,Low
134,15,F,2,4,4,4,13,High,Low
135,14,M,5,4,3,3,21,High,Low
136,18,M,2,3,3,3,16,High,High
137,18,F,4,4,3,4,24,High,High
138,14,F,2,3,2,4,13,Low,Low
139,14,M,3,2,2,3,18,Low,Low
140,16,F,4,4,4,3,21,High,High
141,13,F,3,3,2,2,19,Low,High
142,17,F,4,4,4,3,19,High,High
143,16,M,4,3,3,3,21,High,Low
144,17,M,4,4,3,3,14,High,Low
145,15,F,4,4,3,3,16,High,Low
146,18,F,3,2,3,3,13,Low,High
147,16,M,4,2,5,4,11,High,Low
148,18,M,2,2,2,2,10,Low,Low
149,13,M,4,4,4,4,14,High,Low
150,17,F,1,2,1,3,12,Low,Low
151,18,F,2,3,1,2,15,Low,High
152,17,F,2,3,2,2,13,Low,Low
153,15,M,3,2,3,3,25,Low,Low
154,15,M,4,4,3,3,12,High,Low
155,15,F,4,4,4,4,13,High,Low
156,16,M,4,4,4,3,11,High,Low
157,16,M,4,5,3,3,18,High,High
158,17,M,3,4,5,5,24,High,Low
159,16,F,3,3,1,2,12,Low,Low
160,17,F,4,4,2,2,15,High,Low
161,19,F,4,3,3,3,18,High,Low
162,17,F,2,4,5,3,12,High,Low
163,18,M,2,2,3,3,11,Low,High
164,14,M,3,4,4,3,14,High,Low
165,17,F,3,3,4,4,19,High,High
166,14,F,3,2,3,1,10,Low,High
167,19,M,4,5,4,4,13,High,High
168,19,F,3,3,3,3,18,High,High
169,14,M,5,4,5,4,20,High,High
170,14,F,3,2,4,4,16,High,High
171,16,M,4,4,2,3,9,High,Low
172,16,F,3,3,2,2,14,Low,Low
