Age,Gender,PhysicalActivity,Sleep,SocialSupport,Wellbeing
20,Nonbinary,2.96,55.26,11,20
17,Other,4.45,58.13,29,21
17,Male,6.14,64.49,8,23
26,Male,3.74,54.59,8,17
19,Male,3.05,57.1,20,13
26,Male,6.5,68.88,16,19
20,Male,5.32,47.58,7,11
19,Male,5.13,57.64,17,20
19,Female,3.64,66.53,22,25
20,Male,1.44,56.87,11,20
21,Female,2.9,58.86,12,16
25,Female,4.31,58.66,20,15
22,Male,2.01,50.7,22,15
22,Female,3.64,60.43,18,18
24,Female,1.83,53.32,15,16
20,Female,4.37,50.26,14,21
25,Female,5.3,54.26,4,20
21,Female,4.99,49.14,25,20
20,Male,2.58,53.03,13,13
25,Prefer not to disclose,2.83,71.05,28,27
23,Male,2.12,59.65,21,14
19,Female,4.13,54.68,11,15
22,Male,5.56,57.66,17,19
23,Female,4.16,57.65,25,23
20,Female,2.98,65.54,13,20
20,Male,5.94,60.51,22,19
23,Male,1.35,56.83,12,14
25,Female,3.98,68.89,14,25
26,Male,2.37,57.56,15,17
22,Female,3.94,63.67,21,20
25,Female,1.85,49.09,17,18
23,Female,3.59,64.47,12,19
21,Male,3.1,57.16,13,16
25,Male,3.07,63.16,17,16
19,Female,3.65,62.36,4,20
20,Male,1.84,39.57,19,17
24,Male,3.58,57.33,21,17
20,Male,4.28,43.92,15,10
19,Female,3,61.9,31,21
22,Male,4.49,56.49,18,22
24,Prefer not to disclose,5.04,45.18,17,13
21,Female,3.98,47.42,18,12
25,Male,3.24,73.5,20,29
21,Female,2.56,69.89,12,20
23,Female,3.72,55.71,29,15
21,Male,5.32,57.62,10,15
19,Male,3.27,51.79,8,13
18,Female,5.77,60.95,1,17
17,Female,3.23,65.69,20,18
23,Female,2.01,56.76,26,22
23,Male,6.03,56.15,16,16
19,Male,1.93,51.99,14,22
19,Female,5.83,55.59,18,11
24,Female,5.13,52.89,24,22
19,Female,2.25,47.36,25,16
20,Female,4.04,62.06,7,20
26,Male,3.61,64.32,19,22
22,Male,1.87,50.88,13,18
22,Male,2.84,43.09,7,11
17,Male,4.55,46.72,9,13
20,Female,4.68,61.08,17,22
19,Male,5.26,49.25,19,18
18,Female,2.57,50.26,15,14
19,Female,3.24,54.92,23,17
21,Female,2.37,55.13,12,12
24,Female,5.12,57.53,11,20
19,Female,3.53,61.21,22,21
26,Female,2.51,51.97,9,19
17,Male,3.73,56.78,4,17
21,Male,2.29,49.38,18,13
24,Male,4.44,59.5,14,22
21,Female,2.34,58.47,10,19
20,Male,3.03,41.55,21,11
23,Female,3.65,63.82,5,22
24,Female,4.4,61,19,22
25,Male,3.66,53.26,20,18
19,Female,2.39,59.42,17,13
20,Female,2.06,53.28,20,12
17,Male,4.67,61.95,22,28
20,Female,4.38,54.29,22,16
18,Male,4.13,59.06,27,21
26,Male,3.78,62.34,19,24
24,Female,3.59,50.35,8,14
18,Male,3.33,55.06,11,11
24,Female,3.69,66.44,25,23
23,Male,4.42,61.24,20,26
22,Male,2.53,42.68,18,11
24,Female,7.25,63.73,28,25
21,Male,5.04,62.22,18,19
25,Male,1.49,52.77,24,15
22,Female,5.19,55.5,13,20
22,Female,0.38,54.39,15,13
21,Female,4.91,51.51,17,13
20,Female,5.12,57.28,23,19
23,Male,3.77,56.62,12,20
22,Male,3.34,49.14,16,21
20,Male,2.32,59.73,18,24
20,Male,3.85,49.03,17,15
17,Nonbinary,3.67,51.13,22,15
23,Male,3.94,64.31,20,24
24,Female,1.01,37.56,17,10
18,Male,4.92,55.82,21,16
21,Male,1.98,59.31,8,17
22,Female,2.57,51.14,18,13
18,Male,1.63,64.06,5,21
26,Male,4.74,47.9,28,20
17,Female,5.04,59.2,11,21
22,Female,4.91,63.25,21,20
19,Female,4.2,67,13,22
22,Female,1.24,50.93,29,20
23,Male,5.02,60.38,17,21
24,Female,5.94,52.99,16,13
22,Male,5.25,58.27,21,18
18,Female,3.09,49.57,10,22
21,Male,3.8,50.71,25,22
22,Male,3.57,59.38,18,16
22,Male,7.14,61.71,10,16
23,Female,5.83,61.49,28,22
25,Male,2.91,53.55,15,18
20,Male,3.74,49.2,25,14
23,Female,0.64,55.86,14,12
20,Female,6.1,49.59,12,19
24,Male,3.14,65.97,6,18
17,Male,4.74,66.38,12,24
24,Male,4.35,54.31,24,18
21,Female,6.23,52.35,13,20
24,Male,4.12,66.03,16,22
24,Female,3.3,55.09,15,22
18,Female,2.28,56.06,11,18
25,Female,2.7,59.33,11,22
25,Male,1.54,43.97,18,9
20,Male,6.81,50.86,30,15
24,Female,4.32,52.62,9,14
21,Male,3.63,61.63,25,24
26,Male,2.33,56.15,22,23
18,Female,4.45,51.43,18,14
18,Male,5.02,56.41,14,16
17,Male,3.27,48.46,16,15
25,Male,4.23,47.12,24,22
21,Male,3.77,65.24,28,18
21,Male,4.87,50.14,20,18
19,Female,3.81,58.87,21,21
20,Female,2.65,37.92,9,14
24,Male,4.72,55.59,20,15
24,Female,3.64,67.41,8,19
24,Female,5.43,65.57,18,25
17,Female,4.37,49.49,20,19
21,Male,6.34,64.48,21,15
18,Male,1.01,54.4,28,18
18,Male,3.37,52.51,12,19
25,Prefer not to disclose,5.8,59.68,27,22
25,Female,4.85,68.23,22,26
26,Female,4.37,62.99,20,24
23,Male,2.65,58.57,15,21
20,Female,3.36,62.11,24,23
22,Female,5.07,57.84,24,20
23,Male,5.29,59.13,5,25
25,Male,3.91,55.44,15,14
19,Male,2.57,55.98,17,10
21,Female,2.39,62.74,24,17
18,Male,4.58,63.18,18,27
21,Female,4.75,48.84,19,12
26,Female,3.22,52.52,11,23
25,Female,3.68,53.24,19,18
22,Female,4.47,57.71,28,21
25,Male,4.19,54.17,19,19
18,Female,3.51,59.86,16,21
23,Female,2.78,62.82,19,17
20,Female,1.66,72.04,17,25
23,Prefer not to disclose,3.51,58.15,19,19
18,Male,4.25,51.12,10,18
21,Female,2.29,55.19,13,18
22,Female,1.17,61.45,25,23
20,Male,3.08,60.06,13,22
24,Female,4.17,44.03,14,14
23,Male,2.63,48.68,20,18
21,Female,2.02,55.71,11,15
22,Female,3.65,62.95,12,21
25,Female,3.5,48.08,18,19
19,Male,5.84,54.75,19,23
21,Male,3.1,57.65,13,18
24,Male,2.17,60.93,23,18
24,Male,1.7,53.97,13,17
22,Female,2.25,55.32,17,15
25,Female,3.05,58.2,12,17
18,Male,4.75,64.53,18,18
23,Male,3.18,53.15,23,15
25,Male,4.96,64.26,22,26
25,Female,2.55,56.07,22,19
21,Female,5.45,52.73,10,10
22,Male,4.3,56.66,28,22
26,Male,1.45,53.82,21,20
18,Female,4.6,54.41,22,20
22,Female,5.02,57.86,16,23
22,Female,3.84,50.7,16,15
23,Female,3.98,53.36,25,17
18,Male,3.56,62.88,19,22
20,Male,3.18,63.45,13,18
19,Male,3.76,53.56,15,19
19,Male,2.28,66.67,27,18
25,Female,2.64,59.67,27,19
19,Female,5.1,45.51,15,13
21,Male,2.63,49.78,17,18
25,Male,4.38,59.6,14,19
21,Male,4.66,66.26,19,15
22,Male,3.27,59.36,13,20
19,Female,3.47,56.77,13,21
18,Male,3.63,55.83,11,18
18,Female,2.36,60.04,22,18
25,Male,4.35,49.35,11,15
22,Female,1.05,48.73,16,17
25,Male,3.48,51.35,7,17
25,Female,4.18,56.23,15,17
25,Female,4.53,66.93,29,20
23,Male,4.17,65.55,15,26
20,Male,2.96,83.47,13,24
18,Female,5.42,51.78,24,16
26,Male,6.45,61.21,15,19
21,Male,3.94,67.13,23,19
22,Male,4.23,52.42,25,14
18,Female,3.45,59.92,10,16
25,Female,4.34,47.67,12,17
19,Female,1.96,53.44,22,15
23,Female,2.76,53.01,10,11
25,Male,1.98,42.96,11,14
18,Female,5.34,59.37,14,17
20,Female,4.47,54.13,10,17
25,Female,3.67,55.77,17,23
21,Male,5.23,53.85,15,17
17,Female,5.39,58.37,22,20
20,Male,4,66.55,17,23
22,Female,3.25,52.74,17,15
21,Female,3.83,48.13,16,16
17,Male,2.23,39.28,21,12
22,Male,3.08,55.18,10,20
24,Male,4.13,42.17,7,7
25,Female,2.66,60.18,19,17
26,Male,2.52,65.48,20,19
19,Female,4.4,64.48,18,19
22,Male,4.83,61.97,13,19
23,Female,1.3,50.27,24,17
25,Female,3.26,58.39,18,14
17,Female,3.48,53.43,18,19
20,Female,5.72,51.63,16,16
23,Male,3.54,49.74,15,13
18,Male,4.12,56.9,17,20
18,Female,4.9,60.25,25,18
22,Prefer not to disclose,3.8,59.2,14,16
25,Male,2.75,54.65,17,19
20,Female,4.81,61.5,15,19
20,Female,4.64,59.1,17,20
21,Female,4.17,51.88,18,17
21,Male,2.06,51.38,21,16
17,Male,2.63,61.29,10,20
24,Male,3.12,46.82,6,15
18,Female,3.04,67.69,11,19
23,Female,5.12,63.76,11,27
22,Male,3.18,53.03,11,8
17,Female,3.39,54.51,14,16
25,Male,2.59,51.69,22,16
25,Male,2.64,61.44,11,21
21,Female,6.25,60.68,25,21
24,Male,3.32,64.74,11,22
23,Female,3.66,51.8,23,17
21,Male,4.5,65.84,27,26
25,Female,1.17,50.22,14,19
20,Female,5.39,51.88,21,26
18,Female,1.81,60.4,17,22
26,Female,3.88,46.75,24,11
22,Female,5.21,67.17,21,23
21,Female,2.51,63.92,12,25
24,Male,5.17,60.55,15,20
20,Female,4.72,62.87,33,18
18,Female,2.42,40.34,16,17
18,Female,5.12,51.08,6,13
20,Female,6.21,58.23,20,14
22,Other,1.47,51.63,14,18
24,Female,4.75,59.62,24,12
22,Nonbinary,3.55,58.21,16,15
24,Male,4.97,45.01,19,16
18,Male,2.94,48.03,17,12
20,Female,5.66,57.52,18,17
22,Male,5.8,42.59,22,13
25,Male,3.26,55.63,16,15
25,Female,5.31,50.35,19,22
25,Male,4.65,58.8,7,20
18,Prefer not to disclose,5.23,56.67,15,23
21,Female,4.51,63.58,14,28
19,Male,2.92,52.32,18,12
18,Female,4.51,54.3,17,12
21,Male,3.72,51.75,16,16
24,Male,4.28,48.66,18,13
18,Female,3,57.95,12,17
20,Female,2.86,55.29,18,22
21,Nonbinary,2.59,57.24,25,19
21,Female,0.98,62.17,17,16
18,Female,3.82,59.02,19,18
18,Male,5.11,52.9,18,17
19,Male,2.35,51.87,10,16
22,Male,0,57.96,17,24
22,Male,3.67,56.69,18,20
24,Male,4.6,54.08,30,13
21,Female,2.94,50.05,19,21
26,Female,4.04,56.54,17,14
19,Male,4.26,49.33,26,19
23,Female,5.62,50.19,14,17
25,Female,3.7,66.74,16,28
22,Male,4.96,56.35,22,18
22,Female,5.78,57.89,8,22
19,Male,4.35,50.84,22,13
22,Female,3.89,56.13,12,20
17,Male,5.78,55.03,17,12
17,Male,4.32,65.67,32,19
25,Female,4.68,54.29,16,17
17,Female,3.92,67.59,18,22
20,Male,5.4,59.23,16,20
25,Male,4.23,54.66,17,18
25,Female,3.39,58.48,11,16
21,Female,2.38,55.5,17,15
25,Male,3.62,63.84,9,26
20,Female,4.78,63.21,22,22
22,Female,6.04,57.29,17,13
19,Male,6.72,60.05,17,23
18,Female,5.51,53.26,6,12
23,Male,2.25,55.2,19,17
22,Female,6.75,58.87,21,13
21,Male,4.58,69.05,16,25
23,Female,2.99,53.92,23,22
18,Female,4.2,53.51,10,8
22,Female,3.51,56.36,27,15
21,Male,3.16,56.92,26,14
23,Female,3.35,53.84,18,16
21,Male,3.89,45.25,11,14
18,Male,4.68,44.62,13,8
21,Female,2.48,50.36,13,15
26,Female,1.76,62.27,11,20
18,Male,2.89,58.7,22,24
25,Female,6.49,66.59,20,22
26,Male,2.25,38.95,10,12
18,Male,4.39,44.7,17,10
25,Male,4.48,54.57,21,21
23,Female,2.81,60.09,14,17
20,Female,5.18,60.11,19,16
18,Female,2.46,54.24,17,9
19,Male,2.8,60.88,26,19
18,Male,2.33,60.13,24,12
19,Male,2.22,52.98,6,16
21,Other,3.49,51.14,8,12
18,Male,3.23,64.33,10,29
19,Male,4.12,52.09,16,13
24,Male,2.62,61.69,11,15
20,Female,3.5,44.28,14,17
24,Female,2.06,47.8,20,8
23,Male,3.57,62.15,15,13
22,Female,5.2,54.12,9,16
21,Male,0.61,55.78,25,14
21,Female,2.97,50.71,15,17
24,Male,3.6,52.13,10,18
18,Female,2.01,57.22,10,17
22,Female,1.83,50.22,17,20
21,Male,4.93,61.66,15,21
18,Female,3.71,58.71,16,26
18,Female,2.87,53.48,23,22
24,Female,4.85,55.06,14,17
25,Female,4.57,64.39,18,30
26,Female,3.66,52.65,17,16
26,Female,5.43,61.48,18,25
24,Female,5.57,66.25,24,22
19,Male,4.19,62.2,35,23
21,Female,3.32,54.06,15,16
22,Female,4.96,55.86,16,16
22,Male,3.44,49.56,11,15
21,Male,3.88,57.17,26,21
17,Male,2.31,53.14,17,16
21,Female,2.96,67.31,17,28
21,Male,2.41,58.12,22,24
18,Male,6.02,51.59,24,17
22,Female,3.65,57.76,17,28
19,Female,3.96,47.27,27,13
23,Female,3.32,54.18,22,17
23,Male,4.89,47.35,12,13
21,Female,4.49,55.68,15,20
19,Female,2.33,60.14,22,19
24,Female,2.42,48.75,18,21
17,Nonbinary,4.01,50.75,15,17
26,Male,3.61,51.26,17,13
21,Female,2.64,46.39,25,12
23,Male,4.72,53.09,10,12
19,Male,4.89,60.42,15,23
21,Female,4.46,61.39,20,15
19,Female,3.35,63.86,20,21
19,Female,3.05,58.74,17,18
19,Female,3.75,52.58,17,16
20,Female,2.32,49.36,10,19
22,Female,4.62,53.33,20,17
18,Female,4.07,56.57,19,18
25,Female,4.77,51.54,15,13
24,Female,3,49.44,12,19
19,Female,5.15,62.77,21,23
21,Female,4.29,55.3,20,19
21,Male,3.76,49.26,17,14
17,Female,3,58.97,9,12
20,Female,3.35,48.23,21,14
18,Male,4.93,71.28,16,21
24,Male,6.39,65.03,21,29
23,Male,2.12,38.93,8,11
26,Male,5.1,55.27,18,20
21,Nonbinary,3.98,45.92,14,25
18,Male,3.45,54.52,22,25
24,Female,3.75,53.98,43,24
20,Male,4.34,65.77,17,19
20,Female,5.34,51.18,19,15
21,Male,3.06,42.82,14,14
21,Female,1.76,58.36,8,19
22,Female,5.09,65.46,17,27
23,Male,2.73,54.53,25,23
19,Female,5.18,54.68,18,12
21,Male,2.96,41.57,13,11
21,Male,1.81,49.64,10,14
17,Male,3.77,64.72,27,23
22,Male,4.34,63.06,8,16
22,Male,3.57,46.96,15,17
19,Female,4.75,62.43,27,15
19,Male,6.19,66.79,33,26
24,Female,4,44.7,10,13
18,Male,4.8,56.18,6,16
23,Male,2.37,41.14,13,12
24,Male,2.96,61.44,16,13
17,Female,3.36,52.18,10,17
21,Female,3.98,55.45,16,14
19,Male,3.44,54.49,19,18
22,Male,3.52,55.47,10,24
22,Prefer not to disclose,2.19,56.88,28,20
19,Female,3.4,56.6,12,16
24,Male,4.21,55.56,20,22
19,Male,4.05,40.57,20,10
21,Female,2.04,33.23,11,9
25,Female,2.03,56.66,18,27
25,Male,4.8,63.35,30,17
24,Female,3.75,63.88,14,29
19,Male,1.82,51.4,17,19
18,Female,2.83,53.48,19,17
26,Male,4.67,54.35,18,22
25,Prefer not to disclose,6.17,68.86,11,29
23,Female,5.54,51.64,21,21
18,Female,3.63,49.81,23,18
25,Female,4.71,63.47,28,19
24,Male,3.39,56.97,20,16
19,Female,4.5,62.33,6,20
19,Male,5.07,57.59,11,16
23,Female,3.63,66.34,19,27
19,Male,2.76,61.14,18,27
25,Female,1.39,44.95,16,14
17,Female,4.65,55.87,26,20
23,Male,2.14,59.76,14,21
21,Male,2.39,60.29,16,12
22,Male,1.55,63.41,14,19
17,Female,2.87,45.64,10,4
22,Male,3.87,55.8,14,14
23,Male,2.05,56.24,18,13
22,Male,2.72,53.45,26,19
22,Male,4.99,53.05,22,22
21,Male,2.6,70.54,19,20
22,Female,3.61,59.48,29,17
25,Male,3.48,42.24,13,18
18,Female,5.3,55.49,7,20
25,Male,1.78,61.62,13,22
21,Male,4.72,53.77,21,16
24,Male,2.13,61.97,20,17
22,Male,3.69,58.06,10,18
18,Female,3.93,70.34,16,21
19,Female,1.97,44.22,25,11
19,Male,3.95,56.27,16,17
18,Female,0.84,49.79,11,23
23,Female,0.72,60.11,7,17
18,Male,3.08,65.88,11,19
22,Male,4.22,62.42,19,21
24,Male,3.56,58.36,9,16
22,Male,4.38,68.94,15,22
18,Female,3.25,64,22,25
18,Male,5.77,61.28,20,22
18,Male,3.16,52.44,18,17
