ID,AgeBracket,Gender,Ethnicity,HighestEducation,HRQOL1,HRQOL2,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,HRQOL,PWB,WEMWBS,MSPSS
31,18-33, ,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Excellent,0-5,7,4,7,7,7,7,4,5,5,5,6,5,1,99,50,69
32,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Good,0-5,7,6,7,7,7,7,2,5,6,6,6,6,3,114,42,72
34,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,25-30,3,6,6,6,6,6,6,6,6,5,4,6,3,90,47,66
35,18-33, ,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,None,7,7,7,7,7,7,7,6,6,7,6,7,2,103,44,81
36, , , , ,Excellent,10-15,3,2,4,2,4,5,4,2,6,6,3,6,1,77,50,47
37,18-33,Male,Other British,Undergraduate Degree,Very Good,None,5,5,4,4,4,3,3,5,5,6,5,5,2,104,40,54
38,34-48,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,0-5,7,7,7,6,7,7,6,7,7,7,5,7,2,104,49,80
39,18-33,Female,Other British,Undergraduate Degree,Fair,0-5,6,7,5,5,7,4,3,6,4,7,5,4,4,110,47,63
40,18-33,Female,Other British,Undergraduate Degree,Very Good,0-5,5,6,6,4,4,7,7,6,7,4,5,7,2,94,45,68
41,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,0-5,5,6,5,3,4,6,6,4,6,4,4,6,2,95,42,59
42, , , , ,Good,0-5,6,7,6,6,6,6,5,6,7,6,6,6,3,102,52,73
43,18-33,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Excellent,None,4,6,7,7,5,7,6,6,7,7,7,7,1,103,54,76
45,18-33, ,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,0-5,4,5,4,5,3,4,3,5,5,2,4,6,4,80,16,50
46,18-33,Female,Other British,"Postgraduate Qualification, Masters",Good,10-15,5,5,6,5,4,4,4,5,5,5,7,5,3,100,47,60
47,49-64, ,Polish,PhD or other professional qualification,Excellent,None,7,7,7,7,6,6,6,6,6,7,6,6,1,118,55,77
48,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,0-5,2,4,6,5,1,6,5,6,5,2,4,6,4,82,43,52
50,49-64,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,0-5,6,6,6,5,6,6,6,3,6,6,6,5,2,96,49,67
51,18-33, ,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,10-15,5,7,6,2,6,6,3,4,6,6,5,6,4,80,39,62
53,18-33,Female,Other (not listed),Undergraduate Degree,Excellent,None,6,6,7,7,6,6,6,6,7,6,7,6,1,101,52,76
54,34-48, ,Other white ethnic group,Undergraduate Degree,Good,5-10,7,7,7,5,7,5,4,4,4,7,4,6,3,98,46,67
55,18-33,Female,Other British,"Postgraduate Qualification, Masters",Good,0-5,5,6,7,6,6,6,6,6,6,6,6,6,3,88,43,72
56,18-33,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Good,5-10,5,5,5,4,5,3,2,5,3,5,5,4,3,97,42,51
57,18-33,Female,Other British,"Postgraduate Qualification, Masters",Very Good,0-5,5,6,4,3,5,5,4,3,4,5,6,5,2,70,35,55
59,34-48, ,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,None,4,6,4,2,3,5,4,1,6,4,1,6,2,106,59,46
60,18-33, ,Other British, ,Fair,25-30,5,5,6,4,5,4,3,5,4,4,5,6,4,62,22,56
61,34-48, ,Other British,Undergraduate Degree,Very Good,None,6,6,4,5,5,4,6,4,6,6,5,6,2,96,47,63
62,18-33,Female,"Arab, Arab Scottish or Arab British",Undergraduate Degree,Very Good,0-5,6,6,6,5,6,4,5,4,6,5,6,6,2,92,43,65
63,18-33, ,Other British,Undergraduate Degree,Very Good,0-5,6,6,7,7,6,7,7,6,7,6,6,7,2,103,54,78
66,18-33,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,None,7,7,7,7,7,6,5,7,6,7,6,6,2,113,56,78
67,18-33,Female,Scottish,Undergraduate Degree,Very Good,0-5,7,7,6,5,7,7,7,5,7,7,6,7,2,100,52,78
68,18-33,Female,Polish, ,Very Good,0-5,7,7,5,3,7,5,5,2,6,7,4,5,2,105,56,63
69,34-48,Male,Irish,Undergraduate Degree,Very Good,None,6,6,7,5,5,7,7,5,7,6,4,6,2,106,63,71
70,18-33, ,Other British,"Postgraduate Qualification, Masters",Good,10-15,6,6,5,1,6,6,5,1,5,7,3,6,3,89,50,57
71,34-48,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Excellent,None,2,3,1,1,3,5,3,1,3,3,1,4,1,100,41,30
72,18-33,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Good,0-5,7,7,7,6,7,7,7,5,7,7,6,7,3,107,55,80
73,18-33,Female,Mixed or Multiple Ethnic Groups, ,Good,5-10,6,7,7,7,7,7,7,7,7,7,7,7,3,99,41,83
74,18-33, ,Other British,"Postgraduate Qualification, Masters",Very Good,5-10,6,6,6,6,6,5,5,4,7,6,6,6,2,96,45,69
75,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,20-25,7,7,2,1,7,2,4,1,5,7,5,5,4,95,49,53
77,18-33, ,Other British,Undergraduate Degree,Fair,0-5,5,5,3,3,5,6,5,2,6,5,5,6,4,87,36,56
78,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,5-10,7,7,4,3,7,5,4,5,5,7,5,5,3,107,54,64
79,34-48,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,0-5,7,7,3,3,7,2,2,2,2,7,2,2,2,99,50,46
80,18-33, ,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Poor,15-20,3,5,6,3,3,3,3,3,5,6,5,5,5,100,43,50
82,18-33,Female,"Arab, Arab Scottish or Arab British",Undergraduate Degree,Very Good,None,6,7,5,3,7,6,5,2,6,7,6,7,2,107,49,67
83,34-48, ,Other British,Undergraduate Degree,Very Good,0-5,2,2,6,2,2,6,6,2,6,2,6,6,2,97,51,48
84,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,None,5,6,6,5,6,6,5,5,6,6,5,6,2,105,48,67
85,18-33, ,Scottish,Undergraduate Degree,Good,0-5,7,7,6,5,7,5,5,6,5,7,7,5,3,78,42,72
86,34-48,Female,Mixed or Multiple Ethnic Groups,"Postgraduate Qualification, Masters",Fair,None,1,1,6,6,1,6,7,6,6,2,6,6,4,80,24,54
87,18-33, ,Scottish,Undergraduate Degree,Good,0-5,5,5,6,5,6,5,5,5,5,6,5,5,3,87,48,63
88,18-33,Female,Other white ethnic group,Undergraduate Degree,Good,25-30,5,7,7,7,7,5,5,7,5,7,7,6,3,113,53,75
89,18-33,Male,Other British,Undergraduate Degree,Very Good,None,2,3,5,4,3,5,5,6,6,3,5,5,2,72,38,52
90,18-33,Female,Polish,Undergraduate Degree,Good,None,5,6,6,3,6,6,6,3,5,6,3,5,3,86,36,60
91,18-33, ,Other white ethnic group,Undergraduate Degree,Very Good,0-5,6,6,7,7,5,6,6,7,6,6,7,6,2,104,53,75
93,18-33,Male,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,5-10,3,1,4,4,1,4,6,3,4,1,5,3,4,81,41,39
94,18-33,Female,Irish,Undergraduate Degree,Very Good,15-20,7,7,7,6,7,7,7,6,7,7,7,7,2,80,39,82
95,18-33, , , ,Very Good,0-5,2,2,5,1,3,5,4,2,5,5,5,5,2,77,43,44
96,18-33,Female,Scottish,Undergraduate Degree,Good,0-5,6,6,6,6,5,6,5,5,6,4,6,6,3,89,42,67
97,18-33,Female,Scottish,Undergraduate Degree,Good,0-5,7,7,7,7,7,6,6,7,6,7,5,6,3,110,49,78
98,18-33,Non-binary / third gender,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,0-5,5,5,4,1,2,2,1,1,3,5,1,3,4,84,34,33
99,18-33,Female,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",Excellent,0-5,6,6,7,7,7,6,6,7,6,7,7,6,1,97,48,78
100,18-33,Male,Other British,Undergraduate Degree,Very Good,None,5,5,7,3,5,3,2,1,2,5,5,2,2,94,38,45
101,18-33, ,Scottish,Undergraduate Degree,Good,5-10,7,7,5,5,7,7,7,2,7,7,5,6,3,96,54,72
102,18-33, ,Scottish,Undergraduate Degree,Very Good,0-5,4,4,2,2,4,4,4,4,4,6,5,3,2,85,38,46
103,18-33,Female,Mixed or Multiple Ethnic Groups,"Postgraduate Qualification, Masters",Very Good,None,7,7,6,5,7,7,7,5,7,7,5,7,2,124,59,77
104,18-33,Male,Other white ethnic group,Undergraduate Degree,Excellent,0-5,6,6,7,7,6,6,6,6,6,6,7,7,1,118,63,76
105,18-33,Female,Scottish,Undergraduate Degree,Very Good,5-10,7,7,7,7,7,7,7,6,7,7,6,7,2,105,46,82
106,18-33,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Excellent,0-5,5,5,7,7,5,7,7,7,7,5,7,7,1,99,51,76
107,18-33, ,Other white ethnic group,Undergraduate Degree,Good,5-10,6,6,7,7,6,5,5,7,5,6,6,5,3,95,43,71
108,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Good,0-5,4,6,6,5,5,4,4,5,5,5,6,4,3,78,39,59
109,18-33,Female, , ,Good,5-10,5,5,2,1,5,6,7,1,6,6,1,6,3,88,45,51
110,18-33,Male,Irish,Undergraduate Degree,Excellent,0-5,7,7,7,7,7,7,7,7,7,7,7,7,1,111,53,84
111,18-33,Male,Scottish,Undergraduate Degree,Poor,20-25,6,6,5,5,6,6,5,4,6,6,5,6,5,69,35,66
112,18-33,Female,Other white ethnic group,Undergraduate Degree,Fair,15-20,5,5,4,2,6,6,6,3,6,6,5,5,4,86,42,59
113,18-33, ,Other British,"Postgraduate Qualification, Masters",Excellent,5-10,7,7,7,7,7,7,6,7,5,7,7,6,1,106,56,80
114,18-33, ,Other white ethnic group,Undergraduate Degree,Very Good,None,7,7,7,6,7,6,6,7,7,7,7,7,2,98,47,81
115,18-33,Non-binary / third gender, , ,Good, ,6,6,7,6,6,6,5,6,6,6,7,6,3,102,51,73
116,18-33, ,Other British,Undergraduate Degree,Very Good,0-5,7,7,7,7,7,6,6,7,6,7,7,5,2,114,49,79
117,18-33,Female,Other British,Undergraduate Degree,Good,0-5,6,6,5,5,5,5,5,6,6,5,6,6,3,92,46,66
118,18-33,Female,Irish,Undergraduate Degree,Fair,0-5,5,6,7,6,6,6,4,6,6,6,6,6,4,83,56,70
119,18-33,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Very Good,5-10,5,5,6,7,4,5,6,7,5,5,7,5,2,98,40,67
120,18-33, , , ,Excellent,0-5,6,5,6,5,5,4,4,5,5,5,6,5,1,116,56,61
121,18-33,Female,Other (not listed),"Postgraduate Qualification, Masters",Very Good,0-5,6,6,7,6,6,6,6,6,6,6,6,6,2,116,53,73
122,18-33, ,Other British,"Postgraduate Qualification, Masters",Very Good,None,6,6,5,4,6,3,2,6,3,7,5,2,2,72,33,55
123,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,None,4,5,7,7,4,6,4,7,6,6,4,7,2,112,53,67
124,18-33,Female,Scottish,Undergraduate Degree,Excellent,None,7,7,7,7,7,6,7,7,7,7,7,7,1,110,52,83
125,18-33, ,Other white ethnic group,Undergraduate Degree,Very Good,None,6,6,6,5,6,7,7,5,7,6,6,7,2,110,51,74
126,18-33, ,Irish,Undergraduate Degree,Very Good,0-5,6,7,5,5,7,5,5,3,6,7,5,6,2,107,49,67
127,18-33,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,None,7,7,7,5,7,7,7,5,7,7,6,7,2,117,54,79
128,18-33, ,"Indian, Indian Scottish or Indian British", ,Very Good,0-5,3,3,6,4,3,3,3,2,4,3,3,5,2,105,49,42
129,18-33,Female,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",Very Good,0-5,5,5,7,6,5,7,7,4,7,5,5,7,2,98,35,70
130,18-33, ,Other white ethnic group,"Postgraduate Qualification, Masters",Fair,0-5,5,5,3,3,5,5,5,3,5,6,4,5,4,77,38,54
131,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,5-10,5,6,7,6,4,5,5,7,4,7,7,5,3,106,54,68
132,34-48, ,Scottish,"Postgraduate Qualification, Masters",Very Good,5-10,6,6,5,3,6,6,6,2,6,6,5,6,2,83,43,63
133, , ,"Chinese, Chinese Scottish or Chinese British", ,Excellent,None,6,6,7,7,6,7,6,6,7,7,7,7,1,105,62,79
134,18-33,Female,Other British,Undergraduate Degree,Poor,10-15,7,7,5,4,7,7,7,6,7,7,7,7,5,105,50,78
135,18-33, ,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,4,5,5,4,5,5,4,4,5,4,4,5,3,72,48,54
137,18-33,Female,Irish,"Postgraduate Qualification, Masters",Good,0-5,7,7,7,7,7,6,6,7,7,7,7,6,3,118,56,81
138,34-48,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,6,6,7,5,7,7,7,5,6,7,2,7,3,101,50,72
139,18-33,Female,Other British,Undergraduate Degree,Good,5-10,2,2,4,3,5,5,6,3,6,6,4,6,3,100,45,52
140,34-48,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,0-5,7,7,7,6,6,5,6,7,7,6,7,7,2,89,31,78
141,18-33,Non-binary / third gender,Other white ethnic group,Undergraduate Degree,Good,10-15,7,7,6,5,7,6,7,4,7,7,6,6,3,92,33,75
142,18-33,Non-binary / third gender,Other (not listed),"Postgraduate Qualification, Masters",Very Good,0-5,7,7,5,2,6,7,7,3,7,6,2,7,2,112,56,66
143,18-33, ,Polish,Undergraduate Degree,Very Good, ,7,7,2,1,7,6,6,1,7,7,2,6,2,99,48,59
144,18-33,Non-binary / third gender,Other British,Undergraduate Degree,Good,10-15,7,7,7,7,7,6,6,5,7,7,7,6,3,108,55,79
145,18-33,Female,Scottish,"Postgraduate Qualification, Masters",Excellent,0-5,7,7,7,7,7,7,7,7,7,7,7,7,1,98,55,84
146,18-33,Female,Scottish,Undergraduate Degree,Good,0-5,6,6,6,5,5,6,6,3,6,6,5,5,3,68,43,65
147,18-33, ,"Chinese, Chinese Scottish or Chinese British", ,Poor,5-10,4,5,7,5,5,6,4,6,6,6,4,5,5,82,35,63
148,18-33,Female,Other white ethnic group,Undergraduate Degree,Very Good,None,6,6,5,4,6,7,7,6,7,7,6,7,2,113,50,74
149,18-33, ,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,0-5,5,6,6,4,6,6,6,3,6,5,3,6,2,78,45,62
150,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,0-5,4,5,4,2,5,5,5,4,5,5,5,5,2,93,55,54
151,18-33,Female,Scottish,Undergraduate Degree,Very Good,None,7,7,6,6,7,7,7,6,7,7,6,7,2,100,54,80
152,18-33, ,Other British,Undergraduate Degree,Excellent,None,7,7,5,5,7,6,6,5,6,7,5,6,1,91,38,72
153,18-33, ,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,25-30,1,5,5,4,4,5,3,5,6,6,5,6,4,51,22,55
154,18-33,Female,Other British,"Postgraduate Qualification, Masters",Fair,5-10,6,7,7,7,6,7,7,5,7,7,6,7,4,98,38,79
155,18-33, ,Other British,"Postgraduate Qualification, Masters",Very Good,5-10,7,7,2,2,7,6,6,2,6,7,5,5,2,106,51,62
156,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,None,3,5,6,7,5,4,3,5,4,5,5,4,3,90,38,56
157,18-33, ,Scottish,Undergraduate Degree,Excellent,None,6,6,7,2,6,4,4,2,5,6,6,3,1,105,55,57
158,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Excellent,0-5,7,7,7,7,7,6,6,7,6,7,7,6,1,113,62,80
159,18-33, ,Mixed or Multiple Ethnic Groups,"Postgraduate Qualification, Masters",Very Good,0-5,7,7,6,5,7,6,6,6,6,7,5,6,2,93,39,74
160,18-33,Female,Other (not listed),Undergraduate Degree,Good,5-10,6,6,2,2,7,6,3,6,5,6,4,6,3,60,32,59
161,18-33,Female,"Indian, Indian Scottish or Indian British", ,Good,0-5,5,7,7,7,7,7,7,7,7,7,7,7,3,115,43,82
162,18-33, ,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Very Good,0-5,6,6,7,7,7,6,7,7,6,7,6,7,2,102,56,79
163,18-33,Male,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,10-15,7,7,7,6,6,7,7,7,5,7,7,6,4,71,42,79
164,18-33,Female,"African, African Scottish or African British","Postgraduate Qualification, Masters",Very Good,0-5,6,6,4,6,6,6,6,5,7,6,6,6,2,120,53,70
165,18-33,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Fair,15-20,5,5,6,4,3,5,6,3,6,3,7,6,4,85,39,59
166,18-33,Male,Other British,Undergraduate Degree,Excellent,0-5,7,7,5,5,7,6,6,5,6,7,6,6,1,118,49,73
167,34-48, ,Other British,Undergraduate Degree,Good,0-5,7,7,6,6,7,5,5,7,6,7,6,5,3,111,57,74
168,18-33, ,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,None,6,6,6,5,6,6,5,5,6,6,6,6,2,91,38,69
169,18-33, ,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,4,6,6,6,5,5,4,4,5,4,4,5,3,92,44,58
170,18-33, ,Other white ethnic group,Undergraduate Degree,Very Good,20-25,6,4,6,7,6,7,7,7,7,6,7,7,2,93,52,77
171,18-33, ,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Good,0-5,3,2,6,3,2,5,3,2,5,3,6,2,3,71,33,42
172,18-33,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Excellent,0-5,6,6,7,7,6,6,5,6,6,6,6,6,1,94,48,73
173,18-33, ,Other British,Undergraduate Degree,Good,0-5,6,6,5,4,6,5,5,4,5,6,5,5,3,67,46,62
175,18-33,Female,Scottish,"Postgraduate Qualification, Masters",Very Good,0-5,7,7,7,7,7,7,7,7,7,7,7,7,2,98,49,84
176,18-33, ,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Very Good,0-5,7,7,7,7,7,5,6,6,6,7,7,7,2,106,54,79
177,18-33,Female,Other (not listed),Undergraduate Degree,Good,5-10,6,6,5,5,7,6,6,3,6,6,4,6,3,89,38,66
179,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,0-5,6,6,7,6,6,6,5,6,5,6,6,6,4,86,46,71
180,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,None,4,5,7,3,4,6,6,4,6,4,5,6,2,95,52,60
181,18-33,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Very Good,0-5,7,7,7,7,7,7,7,7,7,7,7,7,2,109,57,84
182,18-33, ,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,0-5,6,7,7,7,7,7,7,7,7,7,7,7,2,99,59,83
183,34-48, ,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,0-5,6,6,5,6,2,2,5,3,4,6,6,2,2,113,58,53
184,18-33, ,Other (not listed),Undergraduate Degree,Good,0-5,6,6,6,6,6,6,6,6,6,6,6,6,3,98,47,72
185,18-33, ,Other British,Undergraduate Degree,Good,0-5,6,6,6,5,5,6,6,4,6,6,6,7,3,87,54,69
186,18-33, ,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,5,6,6,5,5,5,5,4,5,5,5,4,3,76,44,60
187,18-33,Female,Other British,Undergraduate Degree,Fair,10-15,7,7,7,7,7,5,6,5,5,7,7,5,4,90,40,75
188,18-33, ,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,None,1,3,6,4,1,6,5,4,6,3,5,6,2,111,54,50
189,18-33, ,Other white ethnic group,PhD or other professional qualification,Good,5-10,6,5,4,4,5,5,5,5,5,6,4,5,3,86,35,59
191,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,10-15,3,5,2,2,5,6,5,1,6,5,6,6,4,98,28,52
192,18-33,Male,Other British,Undergraduate Degree,Good,0-5,7,7,6,6,7,4,5,3,6,7,4,6,3,89,52,68
193,18-33,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Good,5-10,6,7,6,6,7,6,6,6,6,7,6,5,3,101,50,74
194,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,0-5,5,6,6,6,5,6,6,6,6,6,5,6,2,101,49,69
195,18-33,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Good,0-5,5,7,5,5,7,4,5,6,5,6,5,5,3,96,48,65
196,18-33, ,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,5-10,7,7,7,7,7,7,7,6,7,7,7,7,4,81,39,83
197,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,None,5,6,7,7,6,7,6,7,6,7,7,6,3,96,49,77
199,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,10-15,4,5,6,6,5,5,4,5,4,3,4,5,3,77,40,56
200,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,0-5,7,7,4,2,7,6,5,1,6,7,2,6,2,90,54,60
201,18-33,Female,Scottish,Undergraduate Degree,Very Good,0-5,7,7,6,5,7,6,6,5,6,6,5,6,2,116,53,72
202,18-33,Female,"Arab, Arab Scottish or Arab British",Undergraduate Degree,Very Good,5-10,7,7,7,7,7,7,7,6,7,7,7,7,2,108,47,83
203,18-33, ,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Good,0-5,6,6,7,7,6,6,6,7,6,7,6,6,3,96,52,76
204,18-33, ,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Good,0-5,2,2,7,6,3,6,6,6,6,2,6,6,3,94,45,58
205,18-33,Male,"Chinese, Chinese Scottish or Chinese British", ,Very Good,0-5,6,6,5,5,7,6,6,6,6,7,6,6,2,102,56,72
206,34-48, ,Other British,"Postgraduate Qualification, Masters",Very Good,None,6,6,6,5,6,6,6,5,6,6,6,5,2,100,50,69
207,18-33,Female,Scottish,Undergraduate Degree,Good,0-5,5,6,7,6,7,7,7,7,7,7,7,7,3,95,22,80
